,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,1,0,0,0,1,1,1,3,0,3,3171,0,1229,5
1,4,0,0,0,0,0,2,2,37,0,7,3502,4,682,5
2,4,0,0,0,0,0,8,1,4,1,9,714,4,1810,5
3,1,0,0,0,0,0,0,0,0,0,0,47,0,649,5
4,3,1,0,0,0,1,5,0,3,0,1,710,3,1681,5
5,4,0,0,0,0,0,5,0,1,0,3,5130,3,2296,5
6,4,0,0,0,0,1,19,0,1,2,15,16244,5,2184,5
7,4,0,0,0,0,2,2,0,14,0,3,0,8,2057,5
8,3,1,0,0,0,2,4,1,8,0,1,857,3,2297,5
9,4,0,0,0,0,2,4,1,0,1,6,871,5,354,5
10,4,0,0,0,0,0,3,4,9,0,3,299,0,824,5
11,4,0,0,0,0,0,7,0,2,0,9,1884,1,2721,5
12,1,1,0,0,0,0,1,0,0,0,0,0,0,2705,5
13,3,1,0,0,0,0,6,3,5,0,2,975,4,1076,5
14,4,0,0,0,0,1,7,0,4,0,5,6362,3,948,5
15,3,1,0,0,0,0,7,1,4,0,7,1734,6,2760,5
16,3,0,1,0,0,0,9,1,1,0,0,148888,2,2083,5
17,4,0,0,0,0,1,6,0,3,0,4,5468,6,103,5
18,4,0,0,0,0,0,10,0,1,0,11,1887,4,173,5
19,4,0,0,0,0,1,5,2,3,0,3,36,3,490,5
20,4,0,0,0,0,0,8,0,5,1,8,714,3,1635,5
21,4,0,0,0,0,0,15,0,2,0,5,14433,10,2336,5
22,3,0,0,0,1,1,2,0,3,0,1,16253,2,1251,5
23,4,0,0,0,0,0,6,1,4,0,3,1610,5,1897,5
24,4,0,0,0,0,0,4,0,13,0,1,574,10,2565,5
25,0,2,0,0,0,0,0,0,6,0,4,0,0,2452,5
26,3,0,0,0,1,1,1,0,1,0,3,100,10,1106,5
27,4,0,0,0,0,3,1,1,2,0,6,55,9,2516,5
28,3,1,0,0,0,1,4,0,4,0,7,620,2,2063,5
29,2,1,0,0,1,0,3,0,3,0,2,786,2,1260,5
30,2,0,0,0,2,0,3,0,6,0,0,707,3,1837,5
31,3,1,0,0,0,0,8,1,4,1,4,101,9,2398,5
32,4,0,0,0,0,0,3,0,3,0,5,6168,4,2916,5
33,4,0,0,0,0,0,8,0,3,1,7,2540,3,369,5
34,4,0,0,0,0,1,2,0,5,1,6,157,5,1533,5
35,3,0,0,0,1,0,9,2,13,0,2,4811,2,584,5
36,4,0,0,0,0,0,5,4,13,0,2,88,3,2566,5
37,2,0,0,0,2,0,2,0,2,0,3,245,0,484,5
38,4,0,0,0,0,0,0,0,6,0,1,4188,0,2186,5
39,3,1,0,0,0,4,12,0,3,0,12,1735,4,1363,5
40,4,0,0,0,0,3,5,1,7,0,9,1784,5,1742,5
41,4,0,0,0,0,0,3,0,2,0,4,22079,6,221,5
42,4,0,0,0,0,0,3,1,1,1,2,35,7,336,7
43,3,1,0,0,0,2,3,3,3,0,4,454,6,2158,7
44,4,0,0,0,0,1,1,2,9,0,1,140,0,2379,7
45,3,1,0,0,0,1,1,1,1,0,0,790,8,447,7
46,4,0,0,0,0,1,7,0,0,0,2,8777,5,1055,7
47,4,0,0,0,0,1,1,0,0,0,2,660,3,2430,7
48,3,0,0,0,1,1,2,0,1,1,1,344,2,1386,7
49,4,0,0,0,0,1,0,0,0,0,1,282,2,1839,7
50,4,0,0,0,0,2,0,0,0,1,7,140,13,2271,7
51,4,0,0,0,0,3,2,0,2,0,4,158,10,1816,7
52,4,0,0,0,0,1,1,3,2,0,4,466,0,1527,7
53,4,0,0,0,0,1,4,4,3,0,2,8057,8,2671,7
54,1,1,0,0,2,0,2,4,0,0,3,1170,3,2680,7
55,4,0,0,0,0,2,0,1,0,1,4,297,0,116,7
56,4,0,0,0,0,4,0,2,1,1,11,212,8,768,7
57,4,0,0,0,0,1,4,0,4,0,0,540,16,1482,7
58,4,0,0,0,0,0,1,1,1,0,2,82,17,1479,7
59,2,1,1,0,0,1,1,1,7,0,3,1060,8,345,7
60,1,2,0,0,1,1,2,2,5,0,0,472,4,269,7
61,4,0,0,0,0,1,0,0,0,1,2,1715,3,2686,7
62,4,0,0,0,0,1,2,0,3,1,0,342,2,830,7
63,3,0,0,0,1,0,1,0,1,0,2,950,1,349,7
64,2,0,0,0,2,1,8,1,2,0,1,5085,4,2597,7
65,3,1,0,0,0,3,1,1,0,0,4,748,9,2536,7
66,4,0,0,0,0,1,1,0,2,0,3,20,4,415,7
67,3,1,0,0,0,0,3,1,2,1,4,12140,3,1884,7
68,4,0,0,0,0,1,3,0,0,0,5,20097,1,217,7
69,3,0,0,0,1,3,3,2,3,0,8,10143,4,852,7
70,3,1,0,0,0,0,8,0,2,0,7,265,8,367,7
71,3,1,0,0,0,0,0,1,4,0,4,0,3,657,7
72,3,0,0,0,0,0,0,0,0,0,0,20,0,769,7
73,3,1,0,0,0,0,0,1,1,0,4,349,0,1874,7
74,3,1,0,0,0,2,2,3,2,0,4,1952,4,1903,7
75,4,0,0,0,0,4,0,4,3,1,2,0,5,1853,8
76,4,0,0,0,0,2,1,0,1,0,1,150,1,1468,8
77,4,0,0,0,0,1,1,2,4,1,11,308,2,2115,8
78,3,1,0,0,0,3,0,3,12,0,3,6265,2,99,8
79,4,0,0,0,0,3,3,2,0,1,3,2042,6,2676,8
80,3,0,0,0,0,0,0,6,4,0,6,0,0,2242,8
81,3,1,0,0,0,1,3,4,7,0,3,11910,4,475,8
82,4,0,0,0,0,0,0,1,5,0,5,0,0,2828,8
83,4,0,0,0,0,0,3,1,0,1,3,210,2,1539,8
84,4,0,0,0,0,1,3,0,8,2,7,1785,2,1765,8
85,4,0,0,0,0,0,2,2,3,0,4,274,0,1244,8
86,4,0,0,0,0,1,0,1,1,0,4,4725,3,1234,8
87,4,0,0,0,0,1,7,0,2,1,5,1925,3,1614,8
88,4,0,0,0,0,3,3,0,4,0,7,189,5,1895,8
89,1,0,0,0,0,0,0,0,0,0,1,0,0,2742,8
90,4,0,0,0,0,1,5,4,8,0,1,25365,8,2577,8
91,4,0,0,0,0,5,1,0,1,0,4,3279,13,1084,8
92,4,0,0,0,0,6,1,1,0,1,5,11180,6,1819,8
93,2,2,0,0,0,0,0,0,0,0,1,0,0,2503,8
94,4,0,0,0,0,0,2,2,6,0,6,220,5,2191,8
95,3,1,0,0,0,2,3,0,5,0,4,635,8,202,8
96,4,0,0,0,0,0,3,2,4,2,0,1300,4,1204,8
97,4,0,0,0,0,1,7,0,6,0,4,3011,0,1493,8
98,3,1,0,0,0,0,4,0,0,0,5,1138,2,2495,8
99,4,0,0,0,0,1,5,1,1,0,3,4842,5,1286,8
100,3,1,0,0,0,0,0,0,0,0,5,0,0,877,8
101,4,0,0,0,0,1,2,0,0,0,6,750,3,1807,8
102,4,0,0,0,0,2,2,4,9,0,6,4970,8,2543,8
103,4,0,0,0,0,0,5,0,3,2,2,0,10,2883,8
104,4,0,0,0,0,0,4,0,1,0,8,2281,3,420,8
105,4,0,0,0,0,0,3,1,1,0,2,0,4,727,8
106,4,0,0,0,0,1,5,1,3,0,1,7360,1,1299,8
107,3,1,0,0,0,2,0,0,0,0,2,12987,1,2765,8
108,4,0,0,0,0,0,8,1,1,0,7,13613,5,2328,8
109,4,0,0,0,0,2,3,2,3,0,3,0,8,752,8
110,4,0,0,0,0,1,1,2,5,0,2,5923,3,2112,8
111,4,0,0,0,0,0,2,0,0,1,5,1250,4,1344,8
112,4,0,0,0,0,3,4,1,3,2,5,606,8,2279,8
