,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,0,0,0,1,0,3,3,7,0,5,674,6,682,5
1,4,0,0,0,0,3,4,1,2,3,4,0,3,2822,5
2,4,0,0,0,0,3,4,0,6,1,12,1345,3,1810,5
3,4,0,0,0,0,2,2,1,11,1,4,848,9,2624,5
4,4,0,0,0,0,0,23,4,7,2,17,12437,5,2184,5
5,4,0,0,0,0,5,0,1,6,0,1,85,4,2057,5
6,4,0,0,0,0,4,2,0,3,0,1,0,0,354,5
7,2,0,0,0,2,0,2,1,4,1,7,7404,6,2721,5
8,0,0,0,4,0,0,5,4,1,0,2,0,3,1076,5
9,3,0,0,0,1,1,8,1,4,0,9,2201,3,948,5
10,3,0,0,0,1,0,6,4,2,0,4,509,13,2760,5
11,4,0,0,0,0,4,1,2,4,0,6,540,4,2083,5
12,4,0,0,0,0,3,3,0,1,0,5,180,8,103,5
13,4,0,0,0,0,0,9,2,7,1,8,840,4,1559,5
14,4,0,0,0,0,3,9,0,1,3,8,10453,8,173,5
15,4,0,0,0,0,0,5,2,1,0,4,2601,5,490,5
16,4,0,0,0,0,1,4,5,6,0,11,42,8,1635,5
17,4,0,0,0,0,1,8,0,2,0,8,2662,5,1251,5
18,2,0,0,0,2,2,7,1,6,0,8,13602,6,1897,5
19,4,0,0,0,0,5,4,3,6,0,10,714,2,2228,5
20,1,0,0,2,1,1,2,1,1,0,3,832,0,1106,5
21,3,1,0,0,0,2,1,1,3,0,7,438,11,2516,5
22,2,0,0,0,2,1,1,1,0,0,9,1133,1,2063,5
23,1,0,0,0,3,1,0,0,0,0,0,420,3,1837,5
24,2,0,0,0,2,0,4,0,5,0,2,7705,3,2398,5
25,4,0,0,0,0,2,2,3,2,0,6,795,7,2222,5
26,4,0,0,0,0,0,5,0,2,0,6,655,10,2916,5
27,4,0,0,0,0,2,6,0,5,1,2,4431,4,369,5
28,4,0,0,0,0,1,2,2,2,0,6,141,4,1533,5
29,4,0,0,0,0,3,3,1,6,0,5,0,4,2566,5
30,4,0,0,0,0,0,4,5,3,0,10,120,6,484,5
31,4,0,0,0,0,3,2,5,11,0,4,9189,7,1806,5
32,4,0,0,0,0,1,2,1,3,0,8,25,9,1742,5
33,3,1,0,0,0,4,2,1,3,0,5,576,2,2067,7
34,4,0,0,0,0,2,1,0,3,1,3,172,5,336,7
