,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,1,6,1,0,4,0,0,790,1
1,3,0,1,0,0,0,0,1,1,0,9,0,0,733,1
2,4,0,0,0,0,3,12,0,1,2,10,524,15,2335,1
3,4,0,0,0,0,0,0,2,1,0,1,0,0,1150,1
4,4,0,0,0,0,0,1,1,1,0,5,472,2,414,1
5,2,0,0,0,2,1,2,2,0,0,1,1517,1,1919,1
6,3,1,0,0,0,0,0,0,0,0,1,673,0,631,1
7,3,1,0,0,0,0,0,4,0,0,2,70,0,2260,1
8,2,1,1,0,0,3,0,0,14,1,0,117,1,313,1
9,4,0,0,0,0,0,3,0,2,0,3,1603,2,1267,1
10,3,0,0,0,1,0,0,0,1,0,6,0,5,1870,1
11,4,0,0,0,0,2,1,0,0,0,4,109,33,432,1
12,3,0,0,0,1,0,0,0,0,0,8,0,2,1320,1
13,3,0,0,0,1,2,2,1,2,0,0,0,1,740,1
14,3,0,0,0,0,1,0,0,1,0,1,0,0,1826,1
15,1,0,0,0,3,0,0,0,0,0,0,3295,1,1074,1
16,3,0,0,0,1,2,1,1,3,0,4,0,8,2105,1
17,4,0,0,0,0,2,6,0,0,0,7,546,4,1226,1
18,4,0,0,0,0,1,0,0,5,0,3,433,29,2162,1
19,3,1,0,0,0,0,4,0,0,0,1,7,0,1764,1
20,4,0,0,0,0,0,0,0,0,0,7,204,0,2471,1
21,5,0,0,0,0,0,0,1,4,1,6,0,6,945,3
22,5,0,0,0,0,1,0,0,1,0,8,290,8,288,3
23,5,0,0,0,0,5,5,0,1,4,14,100,0,2366,3
24,4,1,0,0,0,2,1,1,0,0,4,0,0,207,3
25,3,1,0,0,1,2,4,0,0,0,10,2550,4,2415,3
26,2,2,0,0,1,0,1,0,4,0,0,142,0,540,3
27,5,0,0,0,0,4,1,0,0,0,3,0,3,2794,3
28,4,0,0,0,0,0,2,1,5,0,7,220,3,479,3
29,5,0,0,0,0,0,4,2,5,1,9,2740,6,1617,3
30,5,0,0,0,0,0,4,2,2,0,4,1172,14,1224,3
31,3,1,0,0,1,0,0,0,0,0,3,52,2,2797,3
32,5,0,0,0,0,0,1,1,1,0,9,0,1,2612,3
33,3,1,0,0,1,1,3,0,2,0,2,256,0,1619,3
34,5,0,0,0,0,0,2,0,1,0,7,0,2,1738,3
35,2,0,0,0,0,0,0,0,0,0,4,0,0,2791,3
36,5,0,0,0,0,0,3,0,1,1,8,3787,9,2852,3
37,3,2,0,0,0,0,2,2,1,0,7,0,2,2014,3
38,5,0,0,0,0,0,1,1,1,1,7,0,11,2764,3
39,5,0,0,0,0,1,1,0,0,0,3,0,7,5,3
40,5,0,0,0,0,1,2,2,1,0,7,0,5,979,3
41,2,0,0,0,0,0,0,1,0,0,11,0,1,751,3
42,5,0,0,0,0,0,2,2,2,0,12,0,7,851,3
43,4,0,0,0,0,0,0,1,0,0,4,0,0,1708,3
44,4,0,0,0,1,1,4,0,0,0,1,22815,10,1229,5
45,2,0,0,0,0,0,0,0,0,0,0,0,2,108,5
46,4,1,0,0,0,1,2,1,3,0,7,191,2,970,5
47,5,0,0,0,0,3,6,2,3,4,11,3765,0,1248,5
48,2,0,0,0,0,0,10,1,26,0,10,3319,3,2184,5
49,5,0,0,0,0,2,15,2,2,0,11,3947,8,337,5
50,4,0,0,0,1,1,4,0,1,0,2,3233,12,1812,5
51,5,0,0,0,0,1,8,0,1,0,13,30514,2,1616,5
52,3,0,0,0,1,1,4,1,3,0,30,690,1,45,5
53,4,0,0,0,1,2,6,0,4,0,3,2096,1,1509,5
54,5,0,0,0,0,1,11,3,7,0,9,2250,9,824,5
55,5,0,0,0,0,1,3,1,10,2,20,17982,5,282,5
56,4,1,0,0,0,0,12,2,1,2,12,3196,3,2721,5
57,4,0,0,0,1,2,11,0,7,0,3,8657,2,948,5
58,4,0,0,0,1,1,4,1,6,0,9,4311,9,2760,5
59,5,0,0,0,0,4,7,1,46,0,4,54305,1,2083,5
60,4,0,0,0,1,0,3,0,2,0,15,688,5,2529,5
61,2,0,0,0,3,1,4,1,3,0,2,862,3,1964,5
62,4,0,0,0,1,0,40,2,4,0,7,34569,3,1192,5
63,5,0,0,0,0,0,10,1,7,0,12,6715,14,2336,5
64,5,0,0,0,0,0,9,0,5,3,11,140,1,1251,5
65,4,0,0,0,0,0,10,6,24,0,10,3543,3,816,5
66,4,1,0,0,0,0,12,1,6,0,8,602,4,1362,5
67,3,0,0,0,0,0,1,0,0,0,9,0,2,1879,5
68,4,0,0,0,1,0,7,1,2,0,8,938,1,1470,5
69,5,0,0,0,0,1,4,0,4,1,11,30480,1,2063,5
70,5,0,0,0,0,1,4,1,5,0,13,310,3,1837,5
71,4,0,0,1,0,1,6,1,6,0,6,541,8,2398,5
72,4,0,0,0,1,1,5,1,9,0,11,9322,1,2774,5
73,3,0,1,0,1,3,1,1,11,1,4,5191,2,2916,5
74,4,0,0,0,1,0,3,1,2,0,5,8424,6,2475,5
75,4,0,0,1,0,2,5,1,7,0,19,1620,5,1211,5
76,5,0,0,0,0,0,5,0,7,0,4,4988,8,1533,5
77,5,0,0,0,0,3,3,0,3,0,4,1667,10,1675,5
78,3,0,0,1,1,0,3,3,6,0,6,65,7,106,5
79,5,0,0,0,0,1,5,1,5,0,7,11088,7,221,5
80,5,0,0,0,0,2,4,0,7,0,10,883,3,152,5
81,4,0,0,0,0,0,3,0,4,0,1,0,0,443,8
82,4,0,0,0,0,0,5,0,2,1,5,28943,0,2539,8
83,4,0,0,0,0,3,5,0,0,0,6,6802,0,947,8
84,4,0,0,0,0,0,0,0,0,0,2,5500,0,2641,8
85,4,0,0,0,0,1,3,0,1,3,8,248293,3,1614,8
86,4,0,0,0,0,0,4,0,2,0,2,2063,1,1895,8
87,4,0,0,0,0,0,0,0,2,0,0,0,0,2742,8
