,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,4,1,7,0,4,1716,2,682,5
1,4,0,0,0,0,3,1,1,1,0,7,2671,4,2822,5
2,4,0,0,0,0,1,6,0,17,1,10,1074,3,1810,5
3,4,0,0,0,0,2,2,1,3,0,7,532,2,2624,5
4,4,0,0,0,0,0,30,4,4,1,27,1654,5,2184,5
5,3,1,0,0,0,2,2,0,3,0,1,1238,0,2057,5
6,1,1,0,0,0,0,0,0,0,0,1,304,0,354,5
7,4,0,0,0,0,1,8,0,6,1,13,957,3,2721,5
8,2,0,0,2,0,1,2,0,1,0,0,289,2,1076,5
9,3,1,0,0,0,1,8,3,2,0,0,2486,8,948,5
10,4,0,0,0,0,3,2,4,0,0,3,1550,7,2760,5
11,4,0,0,0,0,0,1,0,3,0,2,190,3,2083,5
12,1,2,0,1,0,0,2,1,0,0,5,2558,1,103,5
13,3,1,0,0,0,0,7,1,1,0,3,10895,4,173,5
14,4,0,0,0,0,2,5,0,6,0,6,1382,9,490,5
15,4,0,0,0,0,0,6,1,4,0,7,440,5,1635,5
16,4,0,0,0,0,0,2,0,8,0,5,600,0,2731,5
17,4,0,0,0,0,0,0,0,1,1,1,0,0,1251,5
18,3,1,0,0,0,0,6,0,3,0,4,17250,4,1897,5
19,2,1,0,0,1,0,2,4,4,1,4,0,0,2228,5
20,3,0,0,1,0,0,0,0,0,0,4,0,2,1106,5
21,0,2,0,1,0,0,0,0,0,0,1,150,0,33,5
22,3,1,0,0,0,0,1,0,2,1,8,2323,1,2063,5
23,4,0,0,0,0,0,17,0,4,0,7,3543,2,1837,5
24,2,1,0,1,0,0,0,0,4,0,0,0,2,2398,5
25,2,1,0,1,0,2,0,0,7,0,2,0,4,2222,5
26,4,0,0,0,0,0,6,1,2,0,1,2215,4,2916,5
27,4,0,0,0,0,2,2,0,2,0,1,411,4,369,5
28,4,0,0,0,0,0,0,2,6,0,6,158,4,1533,5
29,4,0,0,0,0,1,0,3,10,0,7,0,6,2566,5
30,4,0,0,0,0,2,4,2,1,0,7,22354,0,484,5
31,4,0,0,0,0,1,4,0,1,0,1,693,0,1806,5
32,4,0,0,0,0,0,5,3,10,0,11,2896,4,1742,5
33,3,0,0,1,0,3,1,2,2,0,1,690,0,590,7
34,2,0,0,2,0,2,1,0,0,0,2,135,0,2067,7
35,3,0,0,1,0,1,0,0,0,0,4,0,4,336,7
36,4,0,0,0,0,0,5,0,1,0,2,5116,1,1386,7
37,0,0,0,4,0,2,1,1,0,0,0,105,0,171,7
38,3,0,0,1,0,1,6,3,3,0,3,7700,2,193,7
39,0,0,0,4,0,0,0,0,0,0,0,0,0,1295,7
40,4,0,0,0,0,2,1,2,1,1,9,1000,14,2271,7
41,2,0,0,2,0,3,0,0,3,0,0,0,1,1867,7
42,3,0,1,0,0,0,0,5,3,0,2,50,3,1527,7
43,2,0,0,2,0,1,5,0,1,0,3,1695,12,2671,7
44,4,0,0,0,0,2,2,0,1,0,2,3705,23,116,7
45,4,0,0,0,0,0,0,0,0,0,2,0,0,2835,7
46,4,0,0,0,0,4,0,2,1,0,6,130,8,768,7
47,1,0,0,3,0,0,1,2,1,0,0,75,0,1656,7
48,4,0,0,0,0,0,3,2,0,1,2,392,6,1482,7
49,2,0,0,2,0,0,3,1,2,0,0,265,11,1479,7
50,2,0,0,2,0,0,2,2,1,0,2,0,1,2862,7
51,3,0,0,1,0,2,7,0,0,0,3,1210,4,1689,7
52,4,0,0,0,0,0,0,0,3,1,7,305,6,2686,7
53,1,0,0,3,0,0,0,0,5,0,1,7000,0,830,7
54,4,0,0,0,0,1,1,2,3,0,2,11400,3,349,7
55,3,0,0,1,0,0,1,2,3,0,7,360,4,415,7
56,2,0,0,2,0,2,1,0,1,0,6,250,5,1884,7
57,4,0,0,0,0,3,4,0,1,0,2,2106,7,217,7
58,1,0,0,3,0,0,1,0,0,0,1,285,5,174,7
59,4,0,0,0,0,2,1,0,4,0,10,0,7,852,7
60,1,0,0,1,0,0,0,1,1,0,1,0,0,367,7
61,2,0,0,2,0,0,2,1,6,0,1,200,0,1283,7
62,3,0,0,1,0,2,7,1,4,0,7,99,0,1860,8
63,4,0,0,0,0,0,1,5,5,0,1,500,4,1853,8
64,4,0,0,0,0,0,0,0,3,0,6,0,0,2115,8
65,4,0,0,0,0,1,6,1,7,0,7,4169,2,287,8
66,4,0,0,0,0,3,2,1,3,0,4,403,4,2676,8
67,4,0,0,0,0,0,2,0,2,1,1,0,1,475,8
68,3,0,0,1,0,0,0,0,0,0,6,0,5,1539,8
69,4,0,0,0,0,0,9,0,3,0,4,300,0,1244,8
70,4,0,0,0,0,0,3,0,1,3,22,180,4,1614,8
71,4,0,0,0,0,0,0,0,1,1,2,4145,0,1997,8
72,4,0,0,0,0,4,3,1,2,1,7,261,2,1895,8
73,3,0,0,1,0,1,2,3,1,1,8,100,3,2577,8
