,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,2,1,0,0,1,1,3,0,3,0,2,212,9,2415,3
1,3,0,1,0,0,0,1,0,6,0,3,220,9,889,3
2,4,0,0,0,0,0,1,0,0,1,2,0,0,28,3
3,3,0,0,0,0,0,0,0,2,0,1,0,0,2412,3
4,1,1,0,0,2,0,3,1,1,1,2,50,2,187,3
5,4,0,0,0,0,1,1,0,2,2,4,0,7,634,3
6,3,0,0,1,0,0,0,1,0,0,2,1500,0,2127,3
7,4,0,0,0,0,1,2,1,0,0,3,0,1,1483,3
8,3,0,0,0,1,0,5,0,0,0,4,100,10,2612,3
9,4,0,0,0,0,1,2,0,2,1,5,58,7,1948,3
10,4,0,0,0,0,2,0,0,1,0,5,0,1,2406,3
11,0,2,0,0,0,0,1,0,0,0,0,10,0,2791,3
12,3,0,0,0,1,1,2,0,0,0,2,0,9,2764,3
13,3,0,0,0,0,1,1,2,0,1,3,0,0,1666,3
14,1,1,0,0,0,0,0,1,2,0,0,0,0,2640,3
15,2,1,0,0,1,0,0,0,1,0,0,0,0,1977,3
16,3,0,0,0,1,0,3,1,0,0,1,0,3,669,3
17,3,0,0,0,1,0,4,5,1,1,2,135,0,977,5
18,3,0,0,0,1,0,5,0,21,0,5,1470,13,682,5
19,3,0,0,0,1,2,2,0,5,0,4,136,1,649,5
20,3,0,0,1,0,4,0,1,3,0,2,997,6,1681,5
21,4,0,0,0,0,0,6,1,3,0,5,1710,8,2296,5
22,3,0,0,0,0,2,10,0,5,0,7,27588,1,2184,5
23,3,0,0,0,0,1,20,0,5,0,9,20409,6,2184,5
24,2,1,1,0,0,1,2,0,10,0,8,1200,14,2297,5
25,1,0,0,3,0,0,3,1,7,0,0,9785,0,1509,5
26,4,0,0,0,0,1,4,0,2,0,1,296,8,824,5
27,4,0,0,0,0,1,4,1,3,0,6,1372,9,2721,5
28,3,0,0,0,1,0,7,0,4,0,1,2755,6,948,5
29,4,0,0,0,0,0,8,1,8,0,8,696,15,2760,5
30,4,0,0,0,0,1,8,0,2,0,1,301,7,2083,5
31,4,0,0,0,0,1,5,1,3,0,8,80,14,103,5
32,2,1,0,0,1,1,2,2,0,0,0,0,2,1920,5
33,4,0,0,0,0,1,2,1,9,1,4,1228,4,1063,5
34,4,0,0,0,0,1,3,0,1,0,3,22724,16,2336,5
35,3,0,0,1,0,0,3,0,1,1,3,9804,2,1251,5
36,4,0,0,0,0,1,2,1,6,0,1,992,1,16,5
37,4,0,0,0,0,0,9,0,1,0,5,12378,9,1897,5
38,4,0,0,0,0,0,4,2,2,0,5,587,7,2452,5
39,4,0,0,0,0,1,1,1,1,0,8,635,2,1106,5
40,4,0,0,0,0,1,4,0,2,0,6,1282,4,2063,5
41,3,1,0,0,0,3,1,1,2,0,2,103,18,2190,5
42,3,0,1,0,0,0,3,0,2,0,1,2502,4,1837,5
43,4,0,0,0,0,1,3,0,4,0,3,707,2,2398,5
44,4,0,0,0,0,3,1,1,7,0,7,4722,10,1018,5
45,4,0,0,0,0,0,6,0,8,1,4,7019,1,2916,5
46,4,0,0,0,0,1,3,3,24,1,12,252,3,925,5
47,4,0,0,0,0,2,2,4,8,1,2,404,8,1533,5
48,3,0,0,0,1,3,8,3,3,0,5,1269,8,584,5
49,3,0,0,0,1,2,5,3,0,1,9,3745,1,484,5
50,4,0,0,0,0,1,8,1,4,1,9,860,13,1363,5
51,4,0,0,0,0,0,4,0,0,0,2,527,11,1742,5
52,3,0,0,0,1,1,3,3,7,0,2,6641,19,221,5
53,4,0,0,0,0,1,0,5,2,0,2,0,3,1853,8
54,4,0,0,0,0,3,1,0,1,0,9,430,2,1468,8
55,4,0,0,0,0,2,1,0,3,1,3,195,6,2115,8
56,4,0,0,0,0,0,5,0,4,0,11,24750,2,2539,8
57,3,0,0,0,1,3,2,0,1,0,16,311,25,2267,8
58,4,0,0,0,0,2,2,4,9,2,4,610,7,99,8
59,3,0,0,0,1,0,0,1,0,2,0,0,0,2676,8
60,3,0,0,0,1,1,2,2,5,0,3,760,11,475,8
61,4,0,0,0,0,5,7,0,0,0,2,2880,2,947,8
62,4,0,0,0,0,1,4,1,0,0,4,0,2,1539,8
63,4,0,0,0,0,1,15,8,8,0,3,930,8,1393,8
64,2,0,0,0,0,0,0,0,0,0,0,0,0,1129,8
65,4,0,0,0,0,6,0,2,8,3,8,275,19,1244,8
66,4,0,0,0,0,1,5,1,2,0,6,0,0,1234,8
67,4,0,0,0,0,0,5,1,2,1,10,340,8,1614,8
68,4,0,0,0,0,1,2,1,1,2,6,167592,1,1895,8
69,4,0,0,0,0,2,0,3,3,0,2,2603,0,2742,8
70,4,0,0,0,0,0,2,3,7,0,1,4406,5,2577,8
71,4,0,0,0,0,2,3,0,0,0,4,261,10,1084,8
72,4,0,0,0,0,1,4,2,3,0,5,9971,3,1819,8
73,4,0,0,0,0,0,6,3,14,1,7,2435,4,2191,8
74,4,0,0,0,0,4,7,0,0,0,5,2909,8,202,8
75,4,0,0,0,0,1,5,1,4,0,4,21797,1,1204,8
76,4,0,0,0,0,2,5,0,6,1,4,50,5,1493,8
77,4,0,0,0,0,4,5,1,4,1,8,201,4,2495,8
78,4,0,0,0,0,0,5,1,0,0,2,13621,2,1286,8
79,4,0,0,0,0,4,0,0,10,0,9,1922,4,2543,8
80,3,0,0,0,1,0,2,1,1,0,1,125,0,895,8
81,4,0,0,0,0,0,3,1,0,0,4,904,16,2883,8
82,4,0,0,0,0,0,6,0,3,2,3,6861,5,420,8
83,4,0,0,0,0,3,3,1,0,0,3,19401,1,727,8
84,4,0,0,0,0,0,4,5,6,1,2,8192,3,1299,8
85,4,0,0,0,0,3,3,1,5,0,5,399,2,2765,8
86,4,0,0,0,0,0,10,0,1,2,5,119365,4,2328,8
87,4,0,0,0,0,0,2,2,6,0,13,0,4,752,8
88,4,0,0,0,0,4,1,7,2,1,3,3575,1,2112,8
89,4,0,0,0,0,1,4,2,6,4,1,13691,1,2080,8
90,4,0,0,0,0,0,2,2,2,0,8,85,3,1344,8
91,4,0,0,0,0,3,3,0,2,0,4,929,10,2279,8
92,4,0,0,0,0,0,1,4,0,0,1,0,4,2694,8
93,4,0,0,0,0,0,3,0,1,0,4,1500,2,1448,9
94,4,0,0,0,0,0,4,0,1,0,4,244,20,1541,9
95,4,0,0,0,0,0,9,0,2,1,10,1528,35,1601,9
96,4,0,0,0,0,0,2,0,2,0,1,0,2,488,9
97,4,0,0,0,0,0,2,1,1,0,4,10447,0,1788,9
98,4,0,0,0,0,6,1,0,1,2,9,1024,21,411,9
99,4,0,0,0,0,1,3,2,1,0,5,8648,18,1294,9
100,4,0,0,0,0,0,2,1,0,0,2,0,5,2218,9
