,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,7,2,7,0,15,1480,4,682,5
1,4,0,0,0,0,0,7,0,3,2,9,1196,7,1810,5
2,4,0,0,0,0,0,3,4,3,0,6,887,4,2624,5
3,4,0,0,0,0,4,14,6,4,1,21,8957,5,2184,5
4,4,0,0,0,0,4,1,2,0,0,4,88,2,2057,5
5,2,0,2,0,0,1,3,3,1,2,4,570,10,354,5
6,4,0,0,0,0,0,3,0,2,0,14,15672,3,2721,5
7,4,0,0,0,0,0,2,1,1,0,3,398,10,1076,5
8,3,0,0,0,1,0,9,1,3,0,2,1601,5,948,5
9,4,0,0,0,0,2,7,3,2,0,3,1633,10,2760,5
10,4,0,0,0,0,1,9,2,0,0,2,482,1,2083,5
11,3,1,0,0,0,0,3,0,4,0,10,2237,4,103,5
12,4,0,0,0,0,3,5,1,12,1,8,7550,5,1559,5
13,3,0,0,0,1,0,5,0,4,0,7,1135,4,173,5
14,4,0,0,0,0,2,3,0,7,2,6,169,4,490,5
15,4,0,0,0,0,0,4,6,6,0,5,773,8,1635,5
16,3,1,0,0,0,0,4,0,0,0,1,152,2,2336,5
17,4,0,0,0,0,2,3,0,1,0,2,9443,3,1251,5
18,4,0,0,0,0,2,4,0,4,5,12,3465,4,1897,5
19,2,0,0,2,0,1,0,1,0,0,8,1920,3,1106,5
20,4,0,0,0,0,2,2,0,3,0,5,1247,4,2516,5
21,3,0,0,0,1,0,4,0,4,0,12,22306,2,2063,5
22,4,0,0,0,0,1,5,0,4,0,19,1704,4,1837,5
23,4,0,0,0,0,1,3,2,10,0,6,2817,5,2398,5
24,4,0,0,0,0,5,0,2,2,3,24,331,12,2222,5
25,4,0,0,0,0,2,2,0,7,0,5,24213,8,2916,5
26,3,0,0,0,1,2,11,0,6,1,7,1828,4,369,5
27,4,0,0,0,0,1,3,0,3,1,3,150,6,1533,5
28,4,0,0,0,0,4,1,2,5,0,16,1643,6,2566,5
29,2,1,0,0,1,3,3,2,1,0,10,2179,6,484,5
30,4,0,0,0,0,5,4,11,10,0,6,580,6,1806,5
31,4,0,0,0,0,2,2,0,2,0,11,5013,10,1742,5
32,4,0,0,0,0,0,1,0,8,1,2,585,3,221,5
33,4,0,0,0,0,2,0,2,0,2,6,651,2,2067,7
34,3,0,0,0,1,4,0,0,1,0,3,1533,4,336,7
35,3,0,1,0,0,2,5,3,8,0,2,1330,15,2379,7
36,3,0,0,0,0,0,0,1,4,0,0,0,0,1440,7
37,4,0,0,0,0,0,4,1,7,2,8,257,29,1386,7
38,4,0,0,0,0,5,1,2,1,1,7,1082,5,171,7
39,4,0,0,0,0,3,1,0,2,0,3,880,1,1839,7
40,3,1,0,0,0,1,5,6,6,2,3,779,2,193,7
41,4,0,0,0,0,3,8,0,2,4,4,2408,8,1295,7
42,3,0,0,0,1,4,2,2,2,1,10,2848,6,2271,7
43,2,1,0,0,1,1,0,0,0,0,3,0,4,1867,7
44,4,0,0,0,0,1,6,3,1,0,4,169,11,1527,7
45,4,0,0,0,0,1,4,1,2,0,5,9500,21,2671,7
46,3,0,1,0,0,7,1,4,2,0,6,193,3,2680,7
47,4,0,0,0,0,1,3,0,1,4,6,880,7,116,7
48,4,0,0,0,0,1,3,2,3,1,5,0,5,2835,7
49,4,0,0,0,0,2,1,1,1,0,3,766,3,768,7
50,4,0,0,0,0,2,1,1,3,0,1,550,7,1656,7
51,4,0,0,0,0,0,8,3,2,1,14,3746,13,1482,7
52,4,0,0,0,0,0,2,16,5,1,0,65,16,1479,7
53,3,0,1,0,0,2,6,2,1,2,13,0,2,1689,7
54,4,0,0,0,0,2,4,1,1,0,9,1053,6,2686,7
55,4,0,0,0,0,1,3,0,0,0,7,0,11,830,7
56,4,0,0,0,0,2,2,1,1,0,5,3557,17,349,7
57,4,0,0,0,0,4,2,1,7,0,4,0,5,415,7
58,3,1,0,0,0,2,1,0,2,0,6,365,2,1884,7
59,4,0,0,0,0,3,2,0,1,2,7,2926,7,217,7
60,4,0,0,0,0,3,1,4,2,0,7,449,6,852,7
61,4,0,0,0,0,1,3,2,3,0,13,650,10,367,7
62,3,1,0,0,0,2,1,0,0,0,0,0,23,657,7
63,4,0,0,0,0,3,3,0,2,0,3,360,3,1283,7
64,4,0,0,0,0,0,1,7,5,0,1,80,5,1853,8
65,2,1,0,0,0,0,0,0,0,0,0,0,0,1468,8
66,4,0,0,0,0,2,0,2,3,0,1,765,8,2115,8
67,4,0,0,0,0,0,2,0,3,0,0,119,3,99,8
68,4,0,0,0,0,3,1,3,0,0,1,30265,3,2676,8
69,1,0,0,0,0,0,0,0,0,0,0,0,0,2242,8
70,4,0,0,0,0,0,5,2,7,1,5,1314,4,475,8
71,4,0,0,0,0,3,5,1,2,0,4,300,2,2828,8
72,4,0,0,0,0,1,3,1,2,1,5,63,4,1539,8
73,4,0,0,0,0,0,3,0,3,1,8,6030,11,1765,8
74,4,0,0,0,0,3,4,1,1,2,3,1256,2,1244,8
75,4,0,0,0,0,0,2,0,2,0,5,506,9,1614,8
76,4,0,0,0,0,0,6,1,2,1,12,234,5,1997,8
77,4,0,0,0,0,1,6,1,1,1,8,272,6,1895,8
78,4,0,0,0,0,1,0,7,11,0,0,151,6,2577,8
79,3,1,0,0,0,0,2,0,10,1,5,3417,9,1084,8
80,4,0,0,0,0,3,1,0,2,0,1,2445,7,1819,8
81,4,0,0,0,0,0,9,2,3,0,4,3467,4,2191,8
82,3,1,0,0,0,1,2,0,3,0,5,3486,6,202,8
83,4,0,0,0,0,0,2,0,7,0,2,0,6,1204,8
84,2,2,0,0,0,1,5,0,2,0,3,11301,2,1493,8
85,4,0,0,0,0,1,2,1,0,0,1,3229,2,2495,8
86,4,0,0,0,0,0,6,0,1,3,4,552,3,1286,8
87,4,0,0,0,0,2,4,0,2,3,2,3100,14,2883,8
88,4,0,0,0,0,1,1,1,1,0,5,11200,7,420,8
89,4,0,0,0,0,0,1,1,0,0,1,1587,2,727,8
90,4,0,0,0,0,1,2,0,1,0,2,32578,3,1299,8
91,2,2,0,0,0,0,1,0,3,0,2,10403,2,2765,8
92,4,0,0,0,0,0,7,0,5,0,4,1620,3,2328,8
93,4,0,0,0,0,6,2,2,0,0,3,11320,4,752,8
94,4,0,0,0,0,0,1,6,2,0,4,0,4,2112,8
95,4,0,0,0,0,1,2,0,2,1,2,495,10,2279,8
96,3,1,0,0,0,2,0,0,1,0,8,556,6,2694,8
97,0,2,0,0,0,0,0,0,0,0,1,0,0,1448,9
98,1,1,0,0,2,0,0,0,0,1,2,0,0,1541,9
99,4,0,0,0,0,0,5,0,0,0,1,6092,5,488,9
100,3,0,0,1,0,0,0,0,2,1,4,75,7,2237,9
101,4,0,0,0,0,0,4,12,12,0,5,472,1,27,9
102,4,0,0,0,0,0,2,0,0,0,6,808,12,1528,9
103,4,0,0,0,0,0,4,0,2,0,2,1281,10,1512,9
104,3,0,0,0,1,0,0,0,1,0,2,0,0,2611,9
105,4,0,0,0,0,0,2,1,1,0,9,592,5,1625,9
106,4,0,0,0,0,3,1,0,1,1,7,2851,12,2749,9
107,4,0,0,0,0,0,1,0,1,0,5,342,5,1166,9
108,4,0,0,0,0,0,2,0,0,0,4,77,5,2358,9
109,4,0,0,0,0,0,4,2,7,1,6,1103,5,274,9
110,3,1,0,0,0,1,7,0,0,0,2,48,11,1091,9
111,3,0,0,0,1,0,2,1,1,0,11,4839,2,545,9
112,2,0,0,2,0,0,1,0,2,1,5,114,6,929,9
113,4,0,0,0,0,3,1,0,8,0,8,1132,7,714,9
114,4,0,0,0,0,5,1,6,4,0,4,2291,3,950,10
115,3,0,0,0,1,1,3,3,4,0,2,1103,11,2293,10
116,4,0,0,0,0,2,0,0,0,0,6,91,15,1326,10
117,4,0,0,0,0,2,4,0,0,1,4,1407,3,1844,10
118,2,1,0,0,1,1,4,0,0,1,2,1468,7,836,10
119,4,0,0,0,0,1,1,7,4,0,3,210,7,2727,10
120,3,0,0,0,1,1,0,0,1,0,3,500,6,1623,10
121,4,0,0,0,0,2,4,3,2,4,5,0,12,101,10
122,4,0,0,0,0,2,1,0,2,1,8,2208,6,73,10
123,4,0,0,0,0,5,1,1,1,0,18,544,3,2194,10
124,4,0,0,0,0,2,0,2,1,0,5,1603,6,598,10
125,4,0,0,0,0,2,2,2,1,0,3,352,1,1822,10
126,4,0,0,0,0,0,0,2,1,0,5,937,2,524,10
127,4,0,0,0,0,4,0,0,1,1,10,1428,15,390,10
128,4,0,0,0,0,0,1,1,0,0,8,1289,0,676,10
129,3,0,0,0,1,0,1,0,1,0,6,0,0,1293,10
130,4,0,0,0,0,3,1,0,1,2,7,8606,3,1731,10
131,2,0,0,0,0,0,0,0,0,0,1,0,0,2131,10
132,4,0,0,0,0,1,1,3,1,2,11,0,2,668,10
133,4,0,0,0,0,1,3,5,2,1,12,918,9,130,10
134,3,0,0,0,1,1,0,0,3,0,2,1734,1,1873,10
135,4,0,0,0,0,3,2,2,0,1,6,3256,17,1652,11
136,4,0,0,0,0,0,8,0,1,1,2,0,4,1682,11
137,1,0,0,0,0,0,0,0,0,0,1,0,0,1197,11
138,4,0,0,0,0,0,1,16,8,0,7,283,1,2306,11
139,4,0,0,0,0,1,2,4,7,0,6,25,2,635,11
140,3,0,0,0,1,0,1,0,2,1,6,312,2,451,11
141,4,0,0,0,0,2,3,0,4,1,3,1345,8,37,11
142,4,0,0,0,0,0,3,0,1,0,1,210,1,923,11
143,4,0,0,0,0,0,2,0,0,1,5,0,1,223,11
144,3,1,0,0,0,0,1,4,6,0,4,50,4,2096,11
145,4,0,0,0,0,1,4,1,2,0,9,80,49,2861,11
146,4,0,0,0,0,0,0,0,0,1,1,0,3,2127,11
147,4,0,0,0,0,3,7,0,4,0,9,4735,14,644,11
148,4,0,0,0,0,2,4,0,0,0,5,150,6,119,11
149,3,0,0,0,1,1,5,4,6,0,5,225,5,1838,11
150,3,1,0,0,0,5,5,0,0,0,1,1294,1,1486,11
151,4,0,0,0,0,0,2,0,4,0,3,1195,3,2396,11
152,4,0,0,0,0,2,1,1,3,0,3,240,0,2762,11
153,4,0,0,0,0,1,6,1,1,1,1,1804,8,2455,11
154,3,0,0,0,1,2,5,1,2,0,4,975,6,2764,11
155,3,1,0,0,0,4,10,1,5,1,4,1766,5,1345,11
156,4,0,0,0,0,1,3,0,0,0,3,0,0,710,11
157,3,0,0,1,0,4,1,0,1,0,7,530,5,406,11
158,4,0,0,0,0,4,0,3,5,0,2,0,4,2032,11
159,4,0,0,0,0,0,3,3,0,3,4,238,3,2526,13
160,2,0,0,0,0,0,0,1,0,0,2,0,0,686,13
