,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,2,0,14,0,2,1500,7,682,5
1,4,0,0,0,0,4,3,0,3,1,5,1477,2,1810,5
2,4,0,0,0,0,0,3,2,2,1,4,149,7,2624,5
3,1,2,0,0,0,0,2,0,2,0,1,0,1,1681,5
4,4,0,0,0,0,2,4,1,1,0,14,0,23,163,5
5,4,0,0,0,0,1,3,0,1,1,1,1572,4,2296,5
6,1,0,0,0,0,0,0,0,0,0,2,142,0,2184,5
7,4,0,0,0,0,0,4,3,12,1,5,0,2,2057,5
8,4,0,0,0,0,2,1,2,1,2,7,141,0,354,5
9,4,0,0,0,0,1,8,0,1,0,4,3088,13,2721,5
10,4,0,0,0,0,0,3,3,3,1,3,1107,5,1076,5
11,2,0,0,0,2,0,5,1,10,0,3,5863,6,948,5
12,4,0,0,0,0,0,4,2,1,2,9,2533,14,2760,5
13,3,0,1,0,0,0,0,2,7,1,4,36800,0,2083,5
14,4,0,0,0,0,0,5,2,2,0,4,1310,4,103,5
15,2,0,0,0,0,0,2,0,4,0,5,0,2,1559,5
16,4,0,0,0,0,2,32,0,2,3,17,765,4,173,5
17,4,0,0,0,0,2,2,0,1,1,4,374,8,490,5
18,4,0,0,0,0,2,3,0,7,0,4,779,3,1635,5
19,4,0,0,0,0,1,8,1,2,1,2,1785,7,2336,5
20,4,0,0,0,0,2,15,0,2,2,2,292,3,1251,5
21,4,0,0,0,0,0,6,0,3,3,5,788,3,1897,5
22,4,0,0,0,0,2,2,0,2,0,9,1090,0,1106,5
23,3,1,0,0,0,3,1,0,3,0,2,0,3,2516,5
24,4,0,0,0,0,0,5,1,4,1,6,3424,9,2063,5
25,1,0,0,0,0,0,0,0,0,0,0,0,0,1260,5
26,4,0,0,0,0,1,3,1,1,1,9,355,6,1837,5
27,3,0,0,0,1,0,3,1,7,1,0,482,3,2398,5
28,4,0,0,0,0,2,2,0,5,4,8,1472,12,2916,5
29,4,0,0,0,0,0,6,1,1,2,7,1806,7,369,5
30,4,0,0,0,0,0,4,3,7,0,6,6607,10,1533,5
31,2,1,0,0,1,1,6,0,6,1,1,8541,4,584,5
32,3,0,0,0,1,1,2,3,6,1,3,0,5,2566,5
33,4,0,0,0,0,1,1,4,16,3,10,3366,5,484,5
34,3,1,0,0,0,2,1,0,0,0,3,18,1,1363,5
35,4,0,0,0,0,2,4,0,2,1,5,927,10,1742,5
36,4,0,0,0,0,0,7,0,4,1,1,2592,5,221,5
37,1,0,0,0,0,0,0,0,0,0,0,0,0,2935,5
38,4,0,0,0,0,2,0,1,3,2,9,260,10,336,7
39,3,1,0,0,0,1,1,1,4,1,1,650,0,2379,7
40,3,1,0,0,0,0,1,0,0,0,0,0,0,2430,7
41,2,0,0,0,2,0,2,7,0,0,3,0,0,1440,7
