,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,3,3,4,0,8,4728,4,682,5
1,3,0,0,0,0,2,1,1,2,0,7,0,3,1882,5
2,4,0,0,0,0,1,4,2,3,0,4,123,6,2822,5
3,4,0,0,0,0,0,5,1,11,0,21,10431,3,1810,5
4,4,0,0,0,0,0,4,2,8,0,5,4580,3,2624,5
5,2,0,0,0,1,3,1,2,5,0,5,0,5,2202,5
6,3,0,0,0,1,3,25,4,11,3,25,7965,5,2184,5
7,4,0,0,0,0,2,2,2,1,0,4,1560,6,2057,5
8,4,0,0,0,0,1,6,3,5,0,15,4262,5,212,5
9,4,0,0,0,0,0,6,0,10,1,11,9889,6,2721,5
10,2,1,0,0,1,0,6,1,3,0,2,38,9,1076,5
11,4,0,0,0,0,2,4,0,1,0,3,11352,8,948,5
12,3,0,0,0,0,1,1,1,0,0,5,1310,6,2760,5
13,4,0,0,0,0,3,15,0,1,0,7,2479,2,2083,5
14,4,0,0,0,0,0,4,2,3,0,11,460,6,103,5
15,4,0,0,0,0,1,3,3,5,0,11,189,1,720,5
16,3,0,0,0,1,1,4,0,4,0,4,5168,7,173,5
17,4,0,0,0,0,0,6,1,12,0,13,5365,5,490,5
18,3,0,0,0,1,0,5,5,4,0,9,1744,15,1635,5
19,3,0,0,1,0,0,3,0,2,1,3,3245,4,2731,5
20,3,0,0,0,1,1,2,1,1,0,2,7582,3,1251,5
21,4,0,0,0,0,0,9,0,6,3,6,3460,4,1897,5
22,4,0,0,0,0,3,3,1,5,0,10,1881,0,2228,5
23,4,0,0,0,0,1,0,0,3,0,3,963,2,1106,5
24,3,0,0,1,0,0,2,0,2,0,4,6422,0,2063,5
25,3,1,0,0,0,1,3,0,3,0,4,721,5,1837,5
26,4,0,0,0,0,1,3,0,2,0,6,1318,3,2398,5
27,3,0,0,0,0,3,2,0,4,0,6,0,4,1018,5
28,4,0,0,0,0,2,2,1,0,0,4,3060,4,2916,5
29,4,0,0,0,0,2,5,2,4,0,9,15667,2,369,5
30,4,0,0,0,0,0,5,0,5,0,10,2018,3,1533,5
31,4,0,0,0,0,3,1,2,2,1,15,8932,3,418,5
32,3,1,0,0,0,1,4,1,1,0,6,19038,1,484,5
33,4,0,0,0,0,0,6,0,2,1,13,3040,4,1742,5
34,4,0,0,0,0,0,0,5,1,0,2,0,0,1809,7
35,4,0,0,0,0,1,1,5,4,1,1,0,5,590,7
36,4,0,0,0,0,2,0,2,1,0,3,0,0,2067,7
37,4,0,0,0,0,1,1,3,1,0,6,109,14,1261,7
38,4,0,0,0,0,0,1,0,1,0,3,25,0,336,7
39,4,0,0,0,0,6,1,1,2,0,1,506,12,1409,7
40,4,0,0,0,0,0,6,1,1,0,4,1450,6,1386,7
41,4,0,0,0,0,1,1,1,6,0,5,5557,0,193,7
42,4,0,0,0,0,1,4,2,1,0,7,0,13,2508,7
43,1,0,0,3,0,0,0,1,1,0,0,0,0,1295,7
44,3,0,0,0,1,0,3,0,1,0,3,2444,10,2271,7
45,4,0,0,0,0,0,6,1,2,0,1,0,19,116,7
46,3,0,1,0,0,0,0,0,6,0,6,0,0,2847,7
47,4,0,0,0,0,0,1,0,0,0,3,0,4,2835,7
48,2,0,0,2,0,0,4,2,0,0,3,15357,3,1482,7
49,3,1,0,0,0,2,2,1,2,0,2,40,8,1479,7
50,4,0,0,0,0,4,5,0,3,0,3,4580,6,1689,7
51,4,0,0,0,0,1,4,1,4,0,2,787,2,2686,7
52,4,0,0,0,0,2,0,0,0,1,5,0,12,1377,7
53,3,1,0,0,0,1,1,0,3,0,2,28551,5,349,7
54,4,0,0,0,0,0,3,3,3,0,2,0,11,415,7
55,3,1,0,0,0,2,0,0,0,0,7,619,6,1884,7
56,3,1,0,0,0,6,1,0,0,0,7,10381,4,217,7
57,3,1,0,0,0,0,1,0,0,0,8,0,0,852,7
58,4,0,0,0,0,0,2,0,2,0,4,375,5,1283,7
59,3,0,0,0,0,1,1,0,1,0,8,79,0,1991,8
60,1,2,0,0,0,2,0,1,1,0,2,150,1,281,8
61,3,0,0,0,0,0,2,0,0,0,1,0,1,1860,8
62,3,0,0,0,0,1,0,1,1,0,2,23,3,1853,8
63,3,0,0,0,0,1,4,0,1,0,4,0,7,2115,8
64,3,0,0,0,0,0,2,1,2,0,1,860,9,287,8
65,3,0,0,0,0,5,1,0,0,0,10,242,4,2676,8
66,2,1,0,0,0,1,2,2,3,0,1,105552,1,475,8
67,3,0,0,0,0,1,0,1,3,0,8,0,2,1539,8
68,3,0,0,0,0,2,2,1,5,1,4,5170,10,1393,8
69,3,0,0,0,0,0,2,1,4,0,7,0,1,1244,8
70,3,0,0,0,0,1,1,1,7,0,5,6018,3,1614,8
71,1,0,0,0,0,0,0,0,0,0,0,0,0,329,8
72,3,0,0,0,0,1,3,0,7,0,16,6497,1,1895,8
73,3,0,0,0,0,0,0,3,6,0,2,868,0,2577,8
74,3,0,0,0,0,0,2,1,0,0,7,817,4,1819,8
75,3,0,0,0,0,0,1,2,1,0,3,0,4,2191,8
76,3,0,0,0,0,2,4,0,1,0,4,281,6,202,8
77,3,0,0,0,0,0,2,0,3,0,2,1730,2,1204,8
78,3,0,0,0,0,2,4,0,0,0,4,51,0,1178,8
79,3,0,0,0,0,2,2,0,0,2,6,1970,3,2495,8
80,3,0,0,0,0,1,7,0,1,0,5,100,2,1286,8
81,3,0,0,0,0,0,0,0,4,1,12,0,0,2761,8
82,3,0,0,0,0,2,1,2,3,0,7,374,2,1885,8
83,3,0,0,0,0,0,3,0,1,0,7,1740,17,2883,8
84,3,0,0,0,0,1,4,0,2,0,7,1133,3,420,8
85,3,0,0,0,0,1,10,0,0,0,3,855,6,727,8
86,3,0,0,0,0,0,7,0,2,0,4,34396,6,1299,8
87,3,0,0,0,0,0,2,2,1,0,9,956,2,2328,8
88,3,0,0,0,0,1,1,1,4,0,5,3305,0,1931,8
89,3,0,0,0,0,0,6,0,4,0,6,452,4,603,8
90,3,0,0,0,0,2,3,2,6,0,6,1850,4,752,8
91,3,0,0,0,0,1,2,9,13,0,4,0,5,2112,8
92,3,0,0,0,0,1,1,0,1,0,3,85,3,2401,8
93,3,0,0,0,0,0,2,0,1,0,7,256,3,2279,8
94,4,0,0,0,0,3,0,0,0,0,5,100,25,1541,9
95,4,0,0,0,0,5,2,3,2,0,4,12540,0,1094,9
96,4,0,0,0,0,0,1,0,0,0,0,3982,0,488,9
97,4,0,0,0,0,0,3,0,6,0,1,0,0,1788,9
98,4,0,0,0,0,2,3,1,1,1,4,851,0,2237,9
99,3,1,0,0,0,1,0,3,1,0,5,0,0,456,9
100,3,0,1,0,0,0,0,2,2,0,2,0,0,1382,9
101,4,0,0,0,0,2,0,3,8,0,6,0,8,2887,9
102,4,0,0,0,0,0,5,1,0,2,1,287,5,1528,9
103,4,0,0,0,0,0,0,0,3,0,1,1500,0,1965,9
104,4,0,0,0,0,0,0,0,2,0,3,0,1,2611,9
105,4,0,0,0,0,0,2,0,0,2,1,300,1,1625,9
106,4,0,0,0,0,1,0,0,0,0,1,120,0,1702,9
107,4,0,0,0,0,3,0,2,7,2,3,1205,2,1767,9
108,4,0,0,0,0,0,2,1,2,0,2,8000,3,660,9
109,4,0,0,0,0,1,4,2,0,0,2,0,12,2749,9
110,3,0,1,0,0,2,1,2,1,1,5,780,6,1166,9
111,2,0,0,2,0,1,3,0,0,0,0,602,2,2358,9
112,3,0,1,0,0,0,2,2,6,0,0,0,4,274,9
113,4,0,0,0,0,0,10,1,3,3,8,2753,4,545,9
114,4,0,0,0,0,2,2,0,3,2,6,0,7,2120,9
115,4,0,0,0,0,0,3,0,1,1,2,2820,15,929,9
116,4,0,0,0,0,0,0,0,1,0,1,6104,0,912,9
117,4,0,0,0,0,1,3,1,4,0,3,240,2,714,9
118,4,0,0,0,0,2,2,4,4,0,5,168,2,950,10
119,4,0,0,0,0,3,2,0,2,0,5,0,1,2293,10
120,4,0,0,0,0,0,1,0,1,2,10,147,13,1326,10
121,4,0,0,0,0,0,6,0,2,0,5,0,31,2414,10
122,3,1,0,0,0,0,1,0,0,0,3,1396,3,1844,10
123,4,0,0,0,0,0,6,0,1,0,4,1116,5,836,10
124,4,0,0,0,0,6,1,1,2,0,6,130,12,2727,10
125,4,0,0,0,0,0,0,1,3,0,1,0,7,685,10
126,4,0,0,0,0,3,3,8,3,1,10,500,40,101,10
127,4,0,0,0,0,2,1,1,1,0,6,444,4,2194,10
128,3,1,0,0,0,0,3,1,0,0,13,252,0,1670,10
129,4,0,0,0,0,1,1,2,2,0,6,0,4,598,10
130,4,0,0,0,0,1,0,0,0,1,3,4056,27,2019,10
131,3,0,0,1,0,1,0,0,1,1,8,1200,3,166,10
132,4,0,0,0,0,3,6,1,2,0,4,3348,0,1822,10
133,4,0,0,0,0,0,4,0,5,1,10,1164,6,1476,10
134,3,1,0,0,0,1,0,0,0,0,3,0,6,390,10
135,4,0,0,0,0,2,1,0,2,0,5,0,9,2492,10
136,4,0,0,0,0,3,1,0,5,0,4,3245,0,676,10
137,4,0,0,0,0,1,1,1,2,0,0,7587,10,1293,10
138,4,0,0,0,0,1,3,2,2,0,7,382,12,1731,10
139,4,0,0,0,0,0,0,0,2,1,5,0,12,555,10
140,4,0,0,0,0,0,5,0,1,1,6,0,6,668,10
141,4,0,0,0,0,2,3,7,5,0,13,1025,9,130,10
142,3,0,0,0,1,0,0,0,0,0,1,0,0,1873,10
143,3,0,0,1,0,1,2,0,6,0,5,0,4,52,11
144,4,0,0,0,0,4,4,1,0,0,9,594,7,1652,11
145,0,0,0,4,0,0,0,1,1,0,0,13149,0,1682,11
146,4,0,0,0,0,1,2,3,2,0,7,0,13,2442,11
147,4,0,0,0,0,0,4,0,0,0,3,320,6,1197,11
148,4,0,0,0,0,3,4,3,9,0,11,6389,10,446,11
149,3,0,0,0,0,2,1,3,3,0,5,0,0,1912,11
150,4,0,0,0,0,5,7,1,7,0,7,360,20,2793,11
151,4,0,0,0,0,2,1,1,4,1,4,1340,5,290,11
152,2,0,0,1,1,0,4,0,5,0,5,255,4,37,11
153,3,1,0,0,0,1,3,0,0,0,4,0,6,923,11
154,4,0,0,0,0,3,4,3,3,1,20,2398,3,1772,11
155,2,1,0,0,1,0,4,1,4,0,9,0,39,2096,11
156,2,0,0,0,0,2,6,1,2,0,5,814,0,826,11
157,4,0,0,0,0,3,3,2,3,0,3,8375,0,644,11
158,4,0,0,0,0,0,4,0,7,0,4,652,8,1838,11
159,4,0,0,0,0,1,2,1,4,0,5,15775,5,1486,11
160,3,0,1,0,0,3,1,1,5,0,9,236,1,1366,11
161,4,0,0,0,0,0,2,0,0,0,1,7506,0,2396,11
162,4,0,0,0,0,0,0,1,1,1,3,0,2,1792,11
163,4,0,0,0,0,0,5,0,2,0,4,926,0,2762,11
164,4,0,0,0,0,0,2,0,1,0,4,0,0,1705,11
165,4,0,0,0,0,5,0,8,1,0,7,270,2,2752,11
166,4,0,0,0,0,1,11,0,3,1,3,11805,31,2455,11
167,4,0,0,0,0,0,2,1,3,0,6,0,1,2377,11
168,4,0,0,0,0,1,3,0,0,0,5,2210,8,2764,11
169,0,0,0,4,0,0,0,0,0,0,0,787,0,1936,11
170,4,0,0,0,0,3,2,0,3,0,6,0,5,2419,11
171,3,1,0,0,0,1,10,0,0,2,6,9925,7,1345,11
172,4,0,0,0,0,1,2,1,0,0,6,0,10,710,11
173,4,0,0,0,0,0,0,2,3,0,0,0,1,1568,11
174,3,1,0,0,0,5,2,5,8,1,2,434,6,861,11
175,2,1,1,0,0,0,1,0,3,0,4,0,1,406,11
176,4,0,0,0,0,1,6,7,14,1,6,3850,4,2032,11
177,1,0,1,1,1,0,2,0,1,1,16,3307,4,2759,12
178,2,2,0,0,0,0,0,0,0,0,4,0,0,2198,12
179,4,0,0,0,0,2,3,0,2,2,7,2250,8,1316,12
180,4,0,0,0,0,0,0,0,2,0,3,0,2,1524,12
181,3,0,1,0,0,0,0,0,1,0,2,0,4,1151,12
182,4,0,0,0,0,1,1,0,0,3,4,0,13,687,12
183,4,0,0,0,0,0,0,2,2,0,5,0,2,244,12
184,4,0,0,0,0,2,1,1,3,5,14,50,9,194,12
185,3,0,1,0,0,0,2,2,1,2,4,0,4,818,12
186,4,0,0,0,0,1,1,0,0,1,11,0,11,1271,12
187,4,0,0,0,0,0,0,0,1,3,5,0,6,365,12
188,0,3,0,0,1,0,0,0,0,0,0,0,0,2598,12
189,4,0,0,0,0,0,0,2,1,1,9,0,3,80,12
190,4,0,0,0,0,0,7,1,0,6,4,0,16,2584,12
191,3,0,0,0,0,2,1,0,0,0,5,790,3,2526,13
192,3,0,0,0,0,0,2,0,1,0,4,0,4,686,13
