,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,0,0,0,0,1,4,0,1,0,3,0,7,2415,3
1,2,1,0,0,0,0,1,1,3,0,1,1405,0,889,3
2,3,0,0,0,0,1,2,1,0,0,1,0,0,2412,3
3,3,0,0,0,0,0,2,1,1,0,3,0,0,187,3
4,3,0,0,0,0,0,0,0,1,0,0,0,0,2127,3
5,2,1,0,0,0,0,2,0,0,0,0,0,1,2612,3
6,3,0,0,0,0,0,6,0,2,3,0,806,0,1948,3
7,3,0,0,0,0,1,0,1,2,0,1,0,5,2406,3
8,3,0,0,0,0,0,3,0,2,0,2,400,3,1439,3
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1977,3
10,2,1,0,0,0,0,0,1,3,0,0,460,0,669,3
11,4,0,0,0,0,3,5,5,13,1,15,3565,5,1229,5
12,4,0,0,0,0,0,5,0,25,1,5,0,7,682,5
13,4,0,0,0,0,0,6,1,10,1,19,3501,6,649,5
14,3,0,0,0,1,3,2,1,1,0,6,262,7,1681,5
15,4,0,0,0,0,1,5,1,2,0,6,74,4,2296,5
16,4,0,0,0,0,0,24,0,9,3,20,38038,4,2184,5
17,4,0,0,0,0,2,2,3,7,1,10,328,6,2297,5
18,4,0,0,0,0,0,14,2,7,1,4,4750,3,1509,5
19,4,0,0,0,0,1,5,0,2,1,8,1235,4,824,5
20,3,0,0,0,1,3,7,4,8,0,19,3626,11,2721,5
21,4,0,0,0,0,0,7,2,3,1,11,848,7,948,5
22,4,0,0,0,0,0,6,2,9,1,12,932,9,2760,5
23,4,0,0,0,0,3,1,3,13,1,2,6973,2,2083,5
24,4,0,0,0,0,1,4,1,3,2,7,1008,11,103,5
25,4,0,0,0,0,6,3,7,7,0,4,21,5,1063,5
26,4,0,0,0,0,10,27,0,3,5,13,7734,13,173,5
27,4,0,0,0,0,1,22,0,7,1,24,50,21,490,5
28,4,0,0,0,0,0,10,0,1,0,12,576,12,616,5
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1635,5
30,4,0,0,0,0,1,5,4,9,1,6,7805,20,2336,5
31,4,0,0,0,0,2,5,0,4,3,7,91762,5,1251,5
32,4,0,0,0,0,0,11,0,8,2,10,341,4,1897,5
33,4,0,0,0,0,0,4,5,6,0,4,1916,10,2452,5
34,4,0,0,0,0,3,1,0,1,1,4,2226,3,1106,5
35,3,1,0,0,0,0,4,0,2,3,4,9712,7,2063,5
36,0,2,0,0,0,0,0,0,0,0,0,0,0,2190,5
37,2,0,0,0,2,2,2,1,2,0,2,1061,8,1837,5
38,4,0,0,0,0,1,6,4,8,1,4,372,3,2398,5
39,2,0,1,0,1,0,4,0,3,0,4,21314,0,2916,5
40,4,0,0,0,0,1,4,4,12,0,6,100,5,925,5
41,4,0,0,0,0,2,5,2,6,0,17,727,10,1533,5
42,4,0,0,0,0,4,9,2,8,4,11,12205,14,584,5
43,4,0,0,0,0,1,4,3,13,0,11,0,14,2566,5
44,3,0,0,0,1,6,2,4,3,1,14,1322,7,484,5
45,4,0,0,0,0,3,0,1,2,0,7,0,5,2186,5
46,4,0,0,0,0,2,4,2,9,2,6,132,10,1363,5
47,4,0,0,0,0,6,3,0,2,3,7,1577,7,1742,5
48,3,0,0,1,0,0,5,3,8,2,6,5157,10,221,5
49,4,0,0,0,0,1,2,2,4,2,4,1862,7,2158,7
50,4,0,0,0,0,2,3,1,0,1,3,1541,3,535,7
51,3,1,0,0,0,3,0,4,4,0,6,0,0,2379,7
52,1,0,0,0,0,0,0,0,0,0,0,0,0,1055,7
53,1,0,0,0,0,0,0,0,0,0,0,0,0,2430,7
54,4,0,0,0,0,0,6,0,5,3,4,800,20,1386,7
55,0,1,0,0,0,0,0,0,0,0,0,0,0,1243,7
56,4,0,0,0,0,0,3,0,1,0,10,1615,6,1839,7
57,2,1,0,0,1,1,2,0,6,3,1,116,1,1816,7
58,0,2,0,0,0,1,0,1,2,0,0,789,2,1615,7
59,4,0,0,0,0,0,6,1,3,2,3,1014,4,1527,7
60,4,0,0,0,0,6,2,1,4,2,7,1071,4,2671,7
61,2,0,0,0,0,0,2,0,0,1,1,0,2,1482,7
62,4,0,0,0,0,0,0,0,1,0,6,196,0,1479,7
63,4,0,0,0,0,0,2,4,13,1,2,0,0,345,7
64,3,1,0,0,0,1,13,3,6,0,5,987,7,269,7
65,4,0,0,0,0,1,4,0,2,7,12,815,8,2686,7
66,4,0,0,0,0,0,5,0,2,2,1,1280,0,830,7
67,3,1,0,0,0,1,1,2,3,1,5,922,0,1893,7
68,4,0,0,0,0,1,1,0,2,1,11,52,2,349,7
69,3,0,0,0,1,1,0,0,1,0,1,535,0,2597,7
70,4,0,0,0,0,1,3,1,6,1,5,0,7,2536,7
71,4,0,0,0,0,0,2,1,3,2,9,0,4,415,7
72,4,0,0,0,0,1,4,0,0,2,8,460,16,1884,7
73,4,0,0,0,0,0,0,0,1,5,8,0,3,217,7
74,4,0,0,0,0,0,4,4,3,5,5,590,12,852,7
75,4,0,0,0,0,1,2,0,1,4,1,0,2,1874,7
76,4,0,0,0,0,1,3,0,0,2,8,0,8,1903,7
77,4,0,0,0,0,1,0,4,8,0,1,0,7,1853,8
78,4,0,0,0,0,0,2,0,0,0,2,195,0,1468,8
79,4,0,0,0,0,0,2,2,4,3,5,625,0,2115,8
80,4,0,0,0,0,0,3,0,0,0,9,0,7,2267,8
81,3,1,0,0,0,1,3,1,6,0,5,3084,5,99,8
82,3,1,0,0,0,5,3,2,0,1,6,2449,2,2676,8
83,4,0,0,0,0,2,3,2,6,1,6,50,5,475,8
84,0,0,0,4,0,0,0,0,0,0,0,2308,0,947,8
85,4,0,0,0,0,0,4,0,3,0,5,0,17,1539,8
86,1,0,0,3,0,0,0,2,10,0,1,1864,0,1393,8
87,4,0,0,0,0,0,3,0,2,1,10,0,5,1765,8
88,3,0,0,0,1,2,7,2,4,1,2,0,0,1244,8
89,3,1,0,0,0,1,2,2,1,0,6,1320,4,1234,8
90,4,0,0,0,0,0,5,0,1,0,7,2110,7,1614,8
91,4,0,0,0,0,4,5,0,1,0,7,18018,5,1895,8
92,4,0,0,0,0,2,4,0,1,1,5,250,2,2742,8
93,4,0,0,0,0,1,1,13,5,0,2,110,11,2577,8
94,3,0,0,0,1,2,6,1,4,1,1,7080,5,1084,8
95,3,0,0,0,1,0,4,0,0,0,3,998,6,1819,8
96,3,1,0,0,0,0,0,0,1,0,5,0,2,2503,8
97,3,0,0,0,1,1,3,4,6,1,6,1200,8,2191,8
98,4,0,0,0,0,1,0,0,3,0,1,145,5,202,8
99,4,0,0,0,0,1,4,0,5,0,7,3883,2,1204,8
100,4,0,0,0,0,2,12,0,7,0,3,447,7,1493,8
101,4,0,0,0,0,1,8,4,4,0,8,0,3,2495,8
102,3,1,0,0,0,0,7,5,1,0,4,847,1,1286,8
103,4,0,0,0,0,1,1,1,8,1,13,285,2,1807,8
104,4,0,0,0,0,0,2,3,9,0,4,3800,4,2543,8
105,4,0,0,0,0,0,9,0,3,0,6,0,41,2883,8
106,4,0,0,0,0,0,4,0,9,0,4,234,5,420,8
107,4,0,0,0,0,2,2,0,0,0,2,0,4,727,8
108,4,0,0,0,0,1,6,3,5,1,1,7412,2,1299,8
109,4,0,0,0,0,4,2,1,3,0,5,272,4,2765,8
110,4,0,0,0,0,1,10,1,5,4,5,3338,6,2328,8
111,4,0,0,0,0,1,7,0,3,0,5,2615,5,752,8
112,4,0,0,0,0,3,1,1,3,0,8,4535,3,2112,8
113,4,0,0,0,0,2,0,0,2,0,3,343,6,1344,8
114,4,0,0,0,0,2,2,1,3,1,6,0,15,2279,8
115,4,0,0,0,0,10,1,0,0,0,7,2600,3,2694,8
116,4,0,0,0,0,0,3,1,1,0,4,0,0,1448,9
117,3,1,0,0,0,2,1,2,2,0,4,3621,16,1541,9
118,4,0,0,0,0,0,4,0,1,2,13,172,12,1601,9
