,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,1,0,0,0,3,0,2,3,1,4,150,0,790,1
1,5,0,0,0,0,0,0,1,0,0,2,1933,0,733,1
2,5,0,0,0,0,0,3,0,1,0,9,520,11,2335,1
3,4,0,0,0,1,1,4,0,4,3,5,250,8,1919,1
4,0,2,0,0,0,0,0,0,0,0,0,0,0,631,1
5,3,2,0,0,0,0,0,0,0,0,5,0,3,2114,1
6,4,1,0,0,0,1,4,2,2,0,5,204,26,313,1
7,5,0,0,0,0,0,6,0,1,1,9,676,5,1267,1
8,1,0,0,1,0,0,0,0,0,0,1,0,0,147,1
9,5,0,0,0,0,3,1,0,6,0,6,250,5,1870,1
10,4,1,0,0,0,2,3,0,0,0,2,1600,28,432,1
11,4,1,0,0,0,0,1,0,2,1,7,250,1,1320,1
12,3,0,0,0,2,0,3,4,5,0,6,251,3,740,1
13,5,0,0,0,0,0,3,1,1,1,6,788,0,1226,1
14,5,0,0,0,0,0,2,0,2,0,5,1337,26,2162,1
15,5,0,0,0,0,0,2,0,1,0,9,38,2,1978,1
16,2,0,0,0,3,0,0,0,0,0,1,0,0,2471,1
17,5,0,0,0,0,0,0,0,4,0,6,180,0,941,1
18,4,0,0,0,0,0,3,1,0,0,4,0,3,2432,3
19,3,0,0,0,1,0,1,0,0,7,2,619,1,2366,3
20,3,0,0,0,0,0,0,0,0,0,3,0,0,1417,3
21,4,0,0,0,0,0,3,0,4,0,5,428,3,2415,3
22,1,3,0,0,0,1,4,1,5,0,7,0,0,540,3
23,3,1,0,0,0,2,1,0,0,0,3,254,5,1371,3
24,4,0,0,0,0,0,1,0,2,1,4,50,0,2292,3
25,1,0,0,0,0,0,0,0,0,0,1,0,0,2127,3
26,2,2,0,0,0,0,0,0,3,0,0,1778,0,1421,3
27,4,0,0,0,0,1,6,0,1,4,6,100,14,2612,3
28,3,0,0,0,1,0,3,0,1,0,2,400,7,1738,3
29,3,0,0,0,1,0,1,0,2,1,1,0,4,2791,3
30,2,0,0,0,0,0,1,0,0,0,0,0,0,2014,3
31,3,0,0,0,1,0,4,0,0,0,5,700,11,2764,3
32,4,0,0,0,0,0,0,1,0,0,4,2500,5,5,3
33,4,0,0,0,0,1,2,0,0,1,3,600,6,979,3
34,4,0,0,0,0,0,1,0,8,0,3,11928,4,556,3
35,3,1,0,0,0,0,0,1,6,1,2,0,2,751,3
36,4,0,0,0,0,0,0,0,0,1,3,0,4,851,3
37,4,0,0,0,0,1,2,0,0,1,3,0,4,2640,3
38,4,0,0,0,0,0,0,1,0,0,1,0,0,1551,3
39,4,0,0,0,0,1,5,0,8,0,7,12662,4,1229,5
40,4,0,0,0,0,0,4,0,2,0,4,2473,5,682,5
41,3,0,0,0,1,1,3,1,6,0,3,3445,4,1248,5
42,4,0,0,0,0,3,4,2,2,0,3,1934,1,1681,5
43,3,0,0,0,1,0,26,1,21,0,15,6699,8,2184,5
44,4,0,0,0,0,0,0,0,0,0,0,4418,0,1616,5
