,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,0,2,1,10,0,1,469,6,682,5
1,4,0,0,0,0,1,2,0,5,1,5,1823,5,2822,5
2,4,0,0,0,0,2,3,2,8,1,9,2355,9,1810,5
3,4,0,0,0,0,0,5,1,5,0,4,1185,3,2624,5
4,4,0,0,0,0,1,26,4,3,0,9,5382,4,2184,5
5,4,0,0,0,0,4,1,2,5,0,2,114,7,2057,5
6,4,0,0,0,0,5,4,1,7,0,11,577,7,212,5
7,4,0,0,0,0,1,7,2,8,0,3,21449,4,2721,5
8,4,0,0,0,0,0,3,0,0,0,1,541,9,1076,5
9,3,1,0,0,0,0,21,0,5,0,2,7141,2,948,5
10,4,0,0,0,0,2,2,1,2,0,6,3234,10,2760,5
11,3,0,0,0,1,0,18,0,0,0,1,1182,6,2083,5
12,4,0,0,0,0,2,2,1,1,0,3,150,6,103,5
13,4,0,0,0,0,1,8,0,0,0,0,4029,3,173,5
14,4,0,0,0,0,3,2,0,4,2,4,929,5,490,5
15,3,0,0,0,1,1,3,3,4,0,7,12983,3,1635,5
16,4,0,0,0,0,2,2,3,13,0,4,84,3,2731,5
17,4,0,0,0,0,0,1,0,2,0,0,1316,3,1251,5
18,2,1,0,1,0,0,7,0,3,0,2,5475,4,1897,5
19,3,1,0,0,0,2,6,6,5,0,3,1965,4,2228,5
20,2,2,0,0,0,0,0,0,1,0,1,704,0,1106,5
21,4,0,0,0,0,0,4,0,2,0,2,7760,2,2063,5
22,3,0,0,1,0,0,4,0,2,0,1,662,6,1837,5
23,3,0,1,0,0,0,3,0,2,0,3,4245,4,2398,5
24,1,0,0,0,0,0,0,0,1,0,0,0,0,2222,5
25,3,0,1,0,0,2,1,0,5,0,3,14365,2,2916,5
26,3,1,0,0,0,1,3,0,6,0,1,2258,2,369,5
27,4,0,0,0,0,0,2,0,3,0,3,676,3,1533,5
28,3,0,0,1,0,3,0,3,4,0,10,2423,6,2566,5
29,3,0,0,0,1,0,2,0,1,0,3,6019,0,484,5
30,3,1,0,0,0,0,5,4,2,0,5,23169,3,1742,5
31,3,0,0,0,0,5,4,3,0,0,2,260,11,590,7
32,2,1,0,0,0,0,1,0,0,0,1,0,1,2067,7
33,2,0,1,0,0,0,1,0,0,0,5,73,1,336,7
34,2,1,0,0,0,2,1,1,0,0,3,1169,0,1386,7
35,2,1,0,0,0,1,0,0,0,0,0,3872,0,171,7
36,0,0,0,3,0,1,0,5,5,0,1,12982,0,193,7
37,3,0,0,0,0,0,0,1,0,0,0,356,0,1295,7
38,3,0,0,0,0,0,3,0,0,0,3,0,8,2271,7
39,1,2,0,0,0,0,0,0,1,0,4,19,1,1867,7
40,3,0,0,0,0,3,5,1,2,0,6,751,3,1527,7
41,2,1,0,0,0,0,0,1,2,0,1,0,6,2671,7
42,2,0,1,0,0,1,1,0,2,0,2,120,17,116,7
43,2,1,0,0,0,0,0,0,0,0,1,0,2,2835,7
44,2,0,0,1,0,1,1,0,0,0,0,2304,13,768,7
45,0,2,1,0,0,1,1,3,5,0,2,715,0,1656,7
46,2,1,0,0,0,0,0,2,0,1,0,4907,3,1482,7
47,2,1,0,0,0,0,0,1,1,0,1,0,0,1479,7
48,3,0,0,0,0,1,1,0,2,0,1,566,2,2862,7
49,3,0,0,0,0,0,0,1,1,0,3,0,0,1689,7
50,3,0,0,0,0,2,3,0,2,0,2,2662,2,2686,7
51,2,1,0,0,0,0,0,0,0,0,1,0,0,830,7
52,3,0,0,0,0,2,3,1,1,0,1,369,5,349,7
53,3,0,0,0,0,1,2,2,5,0,2,4568,3,415,7
54,3,0,0,0,0,1,1,0,0,0,1,0,3,1884,7
55,3,0,0,0,0,2,1,0,1,0,3,27676,6,217,7
56,0,3,0,0,0,1,2,1,0,0,3,55,5,174,7
57,3,0,0,0,0,1,1,2,0,0,0,1788,0,852,7
58,2,1,0,0,0,0,1,1,7,0,1,204,0,1283,7
59,4,1,0,0,0,0,6,2,9,0,3,2337,0,1860,8
60,5,0,0,0,0,2,0,2,5,0,2,300,4,1853,8
61,5,0,0,0,0,0,2,0,4,0,2,85,8,2115,8
62,5,0,0,0,0,0,0,2,4,0,2,0,0,287,8
63,5,0,0,0,0,2,2,1,3,0,3,1479,5,2676,8
64,5,0,0,0,0,1,4,1,0,0,3,8300,2,475,8
65,5,0,0,0,0,0,3,1,4,0,6,210,7,1539,8
66,5,0,0,0,0,3,1,1,6,1,2,886,0,1244,8
67,4,1,0,0,0,2,2,0,2,0,5,0,6,1614,8
68,5,0,0,0,0,0,0,0,0,0,0,0,0,1997,8
69,5,0,0,0,0,2,4,0,1,0,3,7289,0,1895,8
70,5,0,0,0,0,0,0,2,2,0,1,397,0,2577,8
71,5,0,0,0,0,1,5,1,0,1,3,3274,2,1819,8
72,5,0,0,0,0,1,3,6,4,0,4,69,2,2191,8
73,5,0,0,0,0,2,4,0,1,0,1,892,6,202,8
74,5,0,0,0,0,0,4,0,6,0,3,1079,5,1204,8
75,3,0,0,1,1,1,1,0,0,0,7,3125,4,1178,8
76,5,0,0,0,0,4,8,0,1,0,15,2614,7,2495,8
77,4,1,0,0,0,0,8,0,0,0,6,1184,3,1286,8
78,5,0,0,0,0,1,5,0,1,0,12,27229,18,2883,8
79,5,0,0,0,0,1,0,0,1,0,2,0,5,420,8
80,5,0,0,0,0,0,1,2,1,0,0,0,0,727,8
81,5,0,0,0,0,0,4,1,3,0,2,51576,6,1299,8
82,5,0,0,0,0,0,1,2,3,0,3,539,0,43,8
83,5,0,0,0,0,1,9,0,2,0,9,10091,7,2328,8
84,3,0,0,0,0,1,0,4,3,0,3,1767,1,1931,8
85,5,0,0,0,0,0,24,1,13,0,1,400,4,603,8
