,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,5,0,0,0,0,5,3,4,3,0,2,834,0,790,1
1,5,0,0,0,0,1,1,6,8,1,0,0,2,733,1
2,5,0,0,0,0,2,3,0,5,0,7,1022,9,2335,1
3,5,0,0,0,0,0,1,1,2,0,3,0,0,1150,1
4,3,1,1,0,0,1,0,1,2,0,2,0,0,414,1
5,5,0,0,0,0,1,6,0,3,0,12,1421,2,1919,1
6,5,0,0,0,0,3,3,0,0,0,4,0,0,631,1
7,5,0,0,0,0,3,8,4,5,0,6,278,2,2260,1
8,5,0,0,0,0,1,2,3,0,0,8,310,0,2114,1
9,5,0,0,0,0,4,2,3,11,2,3,20,0,313,1
10,5,0,0,0,0,2,8,0,2,0,6,316,3,1267,1
11,5,0,0,0,0,1,4,1,5,0,5,14,0,1870,1
12,3,2,0,0,0,1,2,0,4,0,1,0,8,432,1
13,5,0,0,0,0,0,3,0,3,0,1,66,6,1320,1
14,4,0,0,0,1,2,2,1,2,0,3,801,6,740,1
15,5,0,0,0,0,2,4,3,8,1,15,700,0,1826,1
16,5,0,0,0,0,4,5,1,3,1,4,3295,2,1074,1
17,3,2,0,0,0,1,0,5,1,0,5,168,11,2105,1
18,5,0,0,0,0,0,7,0,3,4,6,269,6,1226,1
19,5,0,0,0,0,1,2,1,2,1,10,725,14,2162,1
20,4,1,0,0,0,1,9,2,4,0,7,366,0,1764,1
21,3,2,0,0,0,1,2,1,0,0,2,1050,0,2471,1
22,4,0,0,0,0,0,3,1,1,0,1,270,8,945,3
23,3,0,0,0,1,0,1,0,2,2,6,658,0,288,3
24,4,0,0,0,0,3,0,0,4,0,13,100,5,2366,3
25,4,0,0,0,0,0,3,0,0,1,4,3150,9,207,3
26,4,0,0,0,0,0,2,0,2,0,12,2590,2,2415,3
27,4,0,0,0,0,1,2,0,3,0,12,0,2,540,3
28,4,0,0,0,0,0,5,0,0,1,3,135,8,2794,3
29,4,0,0,0,0,0,5,1,5,2,4,4682,10,1617,3
30,1,0,0,0,3,1,1,0,5,0,3,275,5,1224,3
31,4,0,0,0,0,0,2,0,0,0,1,0,3,2797,3
32,3,0,0,0,1,0,4,0,0,0,6,0,5,2612,3
33,3,0,0,0,0,0,1,0,3,0,1,150,0,1619,3
34,3,0,0,0,1,0,4,0,1,1,7,0,0,1738,3
35,4,0,0,0,0,0,2,0,3,1,10,0,2,2791,3
36,3,1,0,0,0,0,4,0,5,0,11,0,4,2852,3
37,4,0,0,0,0,0,1,0,7,0,3,0,8,2014,3
38,4,0,0,0,0,0,1,0,0,0,5,0,10,2764,3
39,4,0,0,0,0,0,1,0,2,1,8,1050,10,5,3
40,4,0,0,0,0,0,3,1,1,1,4,0,2,979,3
41,3,0,0,0,1,0,2,2,4,0,5,1600,4,751,3
42,4,0,0,0,0,1,0,0,2,0,3,0,1,851,3
43,4,0,0,0,0,0,0,0,1,0,9,0,2,1708,3
44,2,0,0,0,0,0,0,0,0,0,8,0,0,1551,3
45,4,0,0,0,0,0,5,0,0,1,11,3236,0,1229,5
46,2,1,0,0,1,1,0,0,0,0,5,644,2,970,5
47,3,0,0,0,1,0,4,1,5,3,1,682,5,1248,5
48,3,0,0,0,1,0,14,3,35,1,16,7361,6,2184,5
49,4,0,0,0,0,0,9,0,3,1,2,4659,4,337,5
50,4,0,0,0,0,0,1,1,3,0,1,2000,6,1812,5
51,4,0,0,0,0,0,7,0,0,0,8,62171,5,1616,5
52,3,0,0,0,1,0,8,0,5,0,17,462,9,45,5
53,4,0,0,0,0,2,2,1,9,1,6,385,3,1509,5
54,4,0,0,0,0,0,4,0,4,0,6,3966,10,824,5
55,3,0,0,0,1,0,5,0,7,0,14,270,4,282,5
56,4,0,0,0,0,0,4,0,3,3,13,1939,2,2721,5
57,3,0,0,0,1,2,5,0,5,1,6,9239,4,948,5
58,4,0,0,0,0,2,1,1,3,0,5,1655,7,2760,5
59,3,0,0,0,1,0,4,0,12,0,1,2454,1,2083,5
60,4,0,0,0,0,2,3,1,10,1,7,1264,15,2529,5
61,2,0,0,0,0,0,0,0,6,0,0,0,0,2910,5
62,4,0,0,0,0,0,9,0,2,0,9,3355,9,1964,5
63,4,0,0,0,0,1,11,1,5,1,3,115948,5,1192,5
64,4,0,0,0,0,0,8,0,1,2,6,794,16,2336,5
65,4,0,0,0,0,0,4,0,2,0,7,513,2,1251,5
66,4,0,0,0,0,0,11,3,6,0,9,704,1,1362,5
67,4,0,0,0,0,2,5,0,6,4,26,130,9,1879,5
68,3,0,0,0,1,0,1,0,1,2,3,1851,0,1470,5
69,4,0,0,0,0,1,1,1,3,0,8,31671,1,2063,5
70,3,0,0,0,1,0,3,0,0,0,7,1076,6,1837,5
71,4,0,0,0,0,0,9,1,6,0,13,924,6,2398,5
72,4,0,0,0,0,3,10,0,4,0,4,595,4,2774,5
73,4,0,0,0,0,0,5,0,7,1,3,100,0,2916,5
74,4,0,0,0,0,0,4,0,1,1,13,0,4,1211,5
75,4,0,0,0,0,0,6,2,1,0,11,2777,0,2475,5
76,4,0,0,0,0,0,3,0,4,1,6,63,19,1533,5
77,2,0,0,1,1,0,1,0,2,0,13,1447,1,1675,5
78,3,1,0,0,0,1,4,2,1,0,7,14295,1,106,5
79,4,0,0,0,0,1,3,0,1,0,2,43364,2,221,5
80,4,0,0,0,0,0,3,0,2,2,8,1107,3,152,5
81,3,2,0,0,0,0,0,0,7,1,1,0,0,443,8
82,5,0,0,0,0,0,6,0,2,0,6,2500,1,2539,8
83,5,0,0,0,0,0,3,0,1,0,7,5301,0,947,8
84,4,1,0,0,0,0,0,1,2,1,4,7300,0,2641,8
85,5,0,0,0,0,0,2,0,0,1,10,334969,2,1614,8
86,5,0,0,0,0,3,6,0,1,0,8,85,3,1895,8
