,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,0,0,0,1,2,4,3,5,0,18,4444,8,1229,5
1,4,0,0,0,0,0,4,0,34,0,9,0,4,682,5
2,4,0,0,0,0,2,2,0,1,0,7,0,0,649,5
3,2,1,0,0,1,3,2,0,4,0,3,0,1,1681,5
4,4,0,0,0,0,0,5,1,3,1,3,840,3,2296,5
5,3,0,0,0,1,0,17,0,5,2,7,40406,4,2184,5
6,4,0,0,0,0,2,1,3,5,0,5,752,4,2297,5
7,4,0,0,0,0,0,5,2,7,0,4,3000,5,1509,5
8,2,0,0,1,0,0,2,0,3,1,4,0,0,90,5
9,4,0,0,0,0,1,6,1,6,1,2,9793,3,824,5
10,4,0,0,0,0,0,4,0,4,0,2,0,5,2721,5
11,1,0,0,0,0,0,0,0,0,0,0,0,0,1076,5
12,2,0,0,0,2,1,7,0,4,0,0,4081,4,948,5
13,4,0,0,0,0,1,4,2,1,0,6,326,6,2760,5
14,4,0,0,0,0,1,25,3,13,0,6,3665,1,2083,5
15,4,0,0,0,0,0,5,4,5,1,6,84,10,103,5
16,1,0,0,0,0,0,0,0,1,0,0,180,0,1063,5
17,4,0,0,0,0,4,23,0,6,2,14,1547,6,173,5
18,1,3,0,0,0,0,0,0,2,0,1,0,2,616,5
19,3,1,0,0,0,0,15,3,10,0,5,694,4,490,5
20,3,0,0,0,1,2,2,5,2,0,8,190,9,1635,5
21,3,1,0,0,0,0,7,1,4,0,4,1688,12,2336,5
22,4,0,0,0,0,0,7,0,2,4,2,9971,4,1251,5
23,4,0,0,0,0,0,10,1,8,0,12,5083,3,1897,5
24,4,0,0,0,0,0,3,3,7,0,7,47,21,2565,5
25,2,2,0,0,0,1,2,1,4,0,1,727,3,2452,5
26,4,0,0,0,0,1,3,1,10,0,8,492,0,1106,5
27,4,0,0,0,0,0,6,0,5,0,10,1636,2,2063,5
28,1,0,0,0,1,5,0,1,2,0,4,918,2,1260,5
29,4,0,0,0,0,0,2,1,1,0,6,563,4,1837,5
30,2,0,0,1,1,0,4,2,6,1,4,0,1,2398,5
31,4,0,0,0,0,0,3,1,4,0,4,19519,4,2916,5
32,1,0,0,0,0,2,2,0,0,1,4,0,1,369,5
33,4,0,0,0,0,1,3,1,11,0,3,100,2,925,5
34,4,0,0,0,0,2,4,1,3,1,8,161,8,1533,5
35,4,0,0,0,0,0,6,2,6,5,5,4815,3,584,5
36,3,1,0,0,0,4,3,1,8,0,4,113,12,2566,5
37,4,0,0,0,0,4,2,0,10,0,8,926,8,484,5
38,3,1,0,0,0,2,2,1,2,1,3,293,1,2186,5
39,3,0,0,0,1,1,10,0,1,0,8,0,6,1363,5
40,4,0,0,0,0,2,4,0,2,0,3,4832,6,1742,5
41,4,0,0,0,0,1,3,0,5,2,4,1254,6,221,5
42,2,0,0,0,0,0,1,0,0,0,3,0,0,336,7
43,3,0,0,0,1,1,1,0,5,0,16,272,2,2158,7
44,3,1,0,0,0,0,4,1,4,0,1,460,0,535,7
45,4,0,0,0,0,3,4,3,8,0,4,380,6,2379,7
46,4,0,0,0,0,2,5,1,3,0,11,459,2,1055,7
47,3,1,0,0,0,1,2,0,3,0,7,464,2,2430,7
48,3,0,0,0,1,0,11,0,9,1,22,1886,6,1386,7
49,4,0,0,0,0,0,2,1,1,0,4,139,2,1839,7
50,4,0,0,0,0,2,0,1,3,0,8,80,4,1816,7
51,3,1,0,0,0,0,2,2,4,0,3,665,0,1527,7
52,4,0,0,0,0,2,3,3,5,1,2,374,5,2671,7
53,3,0,0,0,1,2,3,1,1,1,8,280,7,1482,7
54,4,0,0,0,0,1,5,0,2,1,7,661,5,1479,7
55,3,1,0,0,0,0,2,0,13,0,2,257,0,345,7
56,4,0,0,0,0,1,13,2,7,0,4,1905,9,269,7
57,4,0,0,0,0,0,2,3,1,1,9,240,4,2686,7
58,4,0,0,0,0,0,13,0,5,0,4,7280,0,830,7
59,3,0,0,0,1,1,1,3,1,1,6,415,1,1893,7
60,4,0,0,0,0,1,5,0,11,0,1,209,2,349,7
61,3,0,0,0,1,2,6,0,1,2,4,3660,8,2597,7
62,4,0,0,0,0,1,1,1,1,0,9,137,3,415,7
63,4,0,0,0,0,1,1,1,4,3,3,2180,4,2536,7
64,4,0,0,0,0,1,2,0,1,0,4,256,2,1884,7
65,4,0,0,0,0,0,1,0,0,0,4,0,9,217,7
66,3,1,0,0,0,2,2,4,3,0,7,80,10,852,7
67,1,0,0,0,0,0,0,0,0,0,1,0,0,769,7
68,3,0,1,0,0,2,0,0,0,0,9,80,0,1874,7
69,3,0,0,0,1,3,1,1,0,0,8,0,4,1903,7
70,4,0,0,0,0,3,0,3,3,0,0,170,5,1853,8
71,3,1,0,0,0,0,0,0,4,0,2,0,0,1468,8
72,4,0,0,0,0,1,5,1,4,1,4,0,2,2115,8
73,3,0,0,0,1,1,0,1,0,0,10,0,5,2267,8
74,4,0,0,0,0,2,4,3,7,0,5,1148,5,99,8
75,3,1,0,0,0,1,0,0,0,0,3,1278,2,2676,8
76,4,0,0,0,0,2,2,3,6,0,3,42,4,475,8
77,0,0,0,1,3,0,0,0,0,0,1,800,0,947,8
78,4,0,0,0,0,0,5,1,0,0,3,0,5,1539,8
79,0,0,0,4,0,0,0,0,5,0,0,906,0,1393,8
80,4,0,0,0,0,1,4,0,1,1,14,450,2,1765,8
81,4,0,0,0,0,9,3,3,5,1,8,637,2,1244,8
82,3,1,0,0,0,1,0,2,0,0,3,50,2,1234,8
83,4,0,0,0,0,2,0,0,5,1,4,42,8,1614,8
84,4,0,0,0,0,2,0,0,1,4,7,2031,5,1895,8
85,3,0,0,0,1,0,1,1,3,0,6,85,0,2742,8
86,3,0,0,0,1,3,1,18,7,0,4,2631,6,2577,8
87,3,1,0,0,0,3,8,1,3,2,9,340,10,1084,8
88,4,0,0,0,0,0,3,0,0,1,0,189,6,1819,8
89,3,1,0,0,0,0,0,0,0,0,6,0,0,2503,8
90,4,0,0,0,0,0,3,8,5,0,2,0,3,2191,8
91,4,0,0,0,0,2,5,0,6,2,5,510,8,202,8
92,4,0,0,0,0,1,8,1,5,1,10,2126,2,1204,8
93,4,0,0,0,0,0,6,0,3,0,2,0,5,1493,8
94,4,0,0,0,0,2,7,1,9,0,8,4463,6,2495,8
95,4,0,0,0,0,0,8,2,4,0,4,8160,1,1286,8
96,3,1,0,0,0,0,1,1,8,0,3,275,2,1807,8
97,4,0,0,0,0,1,4,1,6,0,5,2726,4,2543,8
98,3,1,0,0,0,0,3,0,3,3,3,0,10,2883,8
99,2,1,0,0,1,0,3,0,7,1,2,0,4,420,8
100,4,0,0,0,0,1,5,0,0,0,3,25,2,727,8
101,3,0,0,0,1,1,7,3,4,0,7,7312,6,1299,8
