,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,0,5,2,10,0,4,2000,8,682,5
1,4,0,0,0,0,2,2,1,1,2,8,404,3,2822,5
2,4,0,0,0,0,2,4,1,7,2,9,5398,14,1810,5
3,2,0,0,0,2,0,4,2,5,0,5,7176,6,2624,5
4,4,0,0,0,0,0,22,1,8,1,20,5146,3,2184,5
5,3,1,0,0,0,2,1,0,0,0,7,640,3,2057,5
6,3,0,0,0,1,1,4,1,7,0,0,314,10,354,5
7,4,0,0,0,0,1,5,5,4,1,8,2251,4,2721,5
8,1,0,0,3,0,0,3,0,2,0,5,331,3,1076,5
9,3,0,0,0,1,2,8,0,0,0,3,2504,7,948,5
10,4,0,0,0,0,1,4,1,1,0,8,2390,11,2760,5
11,4,0,0,0,0,3,5,2,3,1,5,4232,4,2083,5
12,3,1,0,0,0,0,3,2,2,0,10,350,6,103,5
13,4,0,0,0,0,1,2,1,6,0,2,4189,1,1559,5
14,4,0,0,0,0,2,15,4,6,1,7,24728,6,173,5
15,4,0,0,0,0,1,9,0,1,0,4,748,5,490,5
16,3,0,0,0,1,2,4,1,8,0,5,772,4,1635,5
17,4,0,0,0,0,1,5,0,4,0,7,916,4,1251,5
18,4,0,0,0,0,0,9,0,5,1,13,3941,4,1897,5
19,4,0,0,0,0,1,6,2,5,2,17,87,0,2228,5
20,1,0,0,3,0,0,1,0,2,0,3,0,5,1106,5
21,2,0,0,0,0,0,0,0,1,0,0,0,0,33,5
22,2,0,0,0,0,1,1,0,0,0,1,0,2,33,5
23,4,0,0,0,0,2,2,0,1,1,5,1908,8,2516,5
24,4,0,0,0,0,0,6,0,5,0,4,1437,3,2063,5
25,4,0,0,0,0,1,4,1,1,0,6,805,7,1837,5
26,2,0,1,0,1,1,2,1,4,0,1,2757,6,2398,5
27,4,0,0,0,0,2,2,5,7,0,6,892,5,2222,5
28,3,0,0,0,1,1,1,1,4,0,6,4114,13,2916,5
29,3,1,0,0,0,3,4,0,4,0,2,15430,2,369,5
30,3,0,1,0,0,0,3,0,4,0,6,311,5,1533,5
31,3,1,0,0,0,2,3,2,7,0,5,34761,10,2566,5
32,3,1,0,0,0,5,2,6,4,0,7,1862,0,484,5
33,3,0,1,0,0,3,3,3,7,0,4,1470,3,1806,5
34,4,0,0,0,0,3,1,1,1,1,6,1497,9,1742,5
35,3,0,0,0,0,0,3,1,3,0,3,0,0,590,7
36,4,0,0,0,0,1,3,0,2,0,0,449,2,2067,7
37,3,0,0,0,1,0,4,0,0,0,2,0,2,336,7
38,3,0,0,0,1,0,4,2,2,0,2,2514,3,1386,7
39,3,0,0,0,1,1,2,0,3,1,5,189,6,171,7
40,4,0,0,0,0,2,2,5,4,1,3,462,15,193,7
41,4,0,0,0,0,0,3,3,2,0,9,228,14,1295,7
42,4,0,0,0,0,3,1,1,1,0,6,889,5,2271,7
43,4,0,0,0,0,1,0,0,0,0,8,342,2,1867,7
44,4,0,0,0,0,1,3,2,3,0,1,347,6,1527,7
