,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,1,0,0,0,2,1,4,3,0,4,105,0,790,1
1,3,0,0,0,0,2,0,4,1,0,0,0,2,733,1
2,1,0,0,0,0,0,0,0,0,0,1,0,0,2850,1
3,4,0,0,0,0,2,1,1,1,0,7,1987,5,2335,1
4,3,1,0,0,0,2,8,0,3,0,5,15,0,1919,1
5,3,0,1,0,0,2,0,0,0,1,7,10215,0,631,1
6,4,0,0,0,0,2,0,2,0,1,6,129,2,2114,1
7,4,0,0,0,0,2,8,1,2,0,5,30,27,313,1
8,4,0,0,0,0,1,4,0,3,0,4,507,8,1267,1
9,4,0,0,0,0,0,3,0,2,0,2,435,4,1870,1
10,4,0,0,0,0,0,3,0,1,1,4,730,2,1320,1
11,2,0,0,0,2,3,0,2,18,0,4,555,10,740,1
12,0,2,0,0,0,1,0,1,0,0,1,4300,2,1074,1
13,2,0,0,0,0,0,1,2,0,0,0,0,0,2105,1
14,3,1,0,0,0,0,1,0,0,1,4,0,0,1226,1
15,3,1,0,0,0,0,3,0,2,0,3,30,27,2162,1
16,4,0,0,0,0,0,2,0,0,0,5,15,3,1978,1
17,4,0,0,0,0,1,1,2,1,0,6,1064,0,2471,1
18,4,0,0,0,0,0,1,1,0,0,4,0,0,941,1
19,2,2,0,0,0,0,1,0,0,0,2,1500,0,945,3
20,4,0,0,0,0,3,0,0,0,0,8,0,4,2432,3
21,4,0,0,0,0,2,4,0,1,1,1,320,3,2366,3
22,4,0,0,0,0,0,5,0,3,0,6,0,6,2415,3
23,4,0,0,0,0,0,6,0,5,1,7,400,2,540,3
24,4,0,0,0,0,0,1,2,2,1,4,0,1,1371,3
25,2,0,0,0,1,3,4,1,3,0,4,65,0,2431,3
26,4,0,0,0,0,1,4,1,5,1,9,10382,25,1617,3
27,2,2,0,0,0,0,0,0,2,0,1,150,3,1224,3
28,3,0,0,0,1,0,2,0,1,1,2,0,0,2292,3
29,2,1,0,0,1,1,4,0,5,0,4,592,6,1421,3
30,4,0,0,0,0,1,5,3,2,0,5,0,5,2612,3
31,4,0,0,0,0,0,1,1,0,0,1,0,4,1738,3
32,3,1,0,0,0,0,3,3,1,0,3,0,2,2791,3
33,3,0,1,0,0,0,3,0,1,2,3,3000,3,2852,3
34,4,0,0,0,0,2,2,4,5,0,5,0,5,2014,3
35,2,1,0,0,0,0,0,1,0,0,1,0,0,554,3
36,4,0,0,0,0,0,8,0,1,2,4,0,7,2764,3
37,4,0,0,0,0,1,1,0,2,0,6,745,4,5,3
38,4,0,0,0,0,1,4,0,4,1,2,0,6,979,3
39,4,0,0,0,0,3,3,0,7,0,4,4200,2,556,3
40,4,0,0,0,0,1,1,3,7,0,5,900,3,751,3
41,3,0,1,0,0,0,3,1,0,0,3,300,5,851,3
42,4,0,0,0,0,0,1,0,1,0,3,0,13,2640,3
43,4,0,0,0,0,2,8,2,6,1,4,475,12,1551,3
44,4,0,0,0,0,4,3,0,3,0,5,25955,10,1229,5
45,4,0,0,0,0,1,8,1,11,0,3,2807,9,682,5
46,4,0,0,0,0,0,11,2,4,0,6,1651,3,1248,5
