,Date/Time,Effective Drop Date,Reason,Drop Type,user_ID,chapter_ID
75,7 October 20 20:46:13,21/09/2020,Not Enough Referrals,Resigned,1633.0,30
76,7 October 20 17:30:45,01/10/2020,Takes Too Much Time,Resigned,934.0,23
77,6 October 20 19:32:54,05/10/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1392.0,31
78,1 October 20 19:13:28,01/10/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,6.0,25
79,30 September 20 07:07:07,01/08/2020,,System,2407.0,23
80,28 September 20 21:38:19,18/03/2020,Other Reason (see notes),Resigned,1580.0,28
81,28 September 20 21:32:21,28/09/2020,Other Reason (see notes),Resigned,1580.0,27
82,25 September 20 20:32:04,24/09/2020,Left Company,Resigned,2107.0,27
83,23 September 20 16:41:25,26/08/2020,Other Reason (see notes),Resigned,1111.0,28
84,22 September 20 20:56:31,01/09/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,641.0,31
85,18 September 20 21:04:48,09/09/2020,Did Not Renew - No reason Given,Resigned,148.0,20
86,18 September 20 00:14:49,17/09/2020,Member Relocated,Resigned,2356.0,18
87,17 September 20 19:25:56,02/07/2020,Scheduling Conflicts,Resigned,1656.0,7
88,16 September 20 14:12:46,01/09/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,547.0,14
89,16 September 20 14:11:43,01/09/2020,Other Reason (see notes),Resigned,1767.0,14
90,15 September 20 20:47:14,09/09/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,704.0,18
91,14 September 20 17:04:51,09/09/2020,Other Reason (see notes),Resigned,2643.0,18
92,4 September 20 19:35:07,02/09/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,1228.0,13
93,4 September 20 17:56:11,02/07/2020,No Reason Entered,Resigned,1997.0,8
94,3 September 20 07:53:51,21/08/2020,Takes Too Much Time,Resigned,1512.0,9
95,1 September 20 20:53:41,28/08/2020,Did Not Renew - No reason Given,Resigned,2671.0,7
96,27 August 20 01:26:32,26/08/2020,Personal Reasons,Resigned,223.0,11
97,21 August 20 15:06:45,01/06/2020,,System,2322.0,25
98,18 August 20 22:24:50,07/08/2020,Other Reason (see notes),Resigned,889.0,16
99,17 August 20 18:56:01,12/08/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2752.0,28
100,16 August 20 13:46:36,01/07/2020,Takes Too Much Time,Resigned,1327.0,16
101,13 August 20 15:35:28,12/08/2020,Not Enough Referrals,Resigned,307.0,30
102,13 August 20 14:49:20,08/07/2020,Other Reason (see notes),Resigned,2787.0,16
103,12 August 20 16:51:21,12/08/2020,Other Reason (see notes),Resigned,174.0,7
104,12 August 20 16:49:26,28/08/2020,Other Reason (see notes),Resigned,2671.0,7
105,10 August 20 19:42:01,10/08/2020,Member Relocated,Resigned,86.0,10
106,10 August 20 15:23:12,09/08/2020,Scheduling Conflicts,Resigned,2906.0,18
107,7 August 20 20:49:00,07/08/2020,Scheduling Conflicts,Resigned,517.0,22
108,7 August 20 16:56:09,07/08/2020,*Economic Distress,Resigned,486.0,22
109,7 August 20 16:53:47,06/08/2020,Scheduling Conflicts,Resigned,821.0,22
110,6 August 20 01:43:23,05/08/2020,Other Reason (see notes),Resigned,63.0,13
111,6 August 20 01:40:20,05/08/2020,Not Right Fit with Company,Resigned,396.0,20
112,6 August 20 00:50:58,24/07/2020,Personal Reasons,Resigned,1890.0,18
113,6 August 20 00:49:14,05/08/2020,Personal Reasons,Resigned,1108.0,18
114,5 August 20 17:23:43,01/08/2020,Member Relocated,Resigned,496.0,30
115,28 July 20 22:45:42,28/07/2020,Changed Job,Resigned,1059.0,16
116,27 July 20 04:21:49,26/07/2020,Lost Employee,Resigned,811.0,30
117,24 July 20 18:36:32,01/07/2020,Affordability of Costs,Resigned,2084.0,13
118,23 July 20 17:34:52,22/07/2020,Personal Reasons,Resigned,2677.0,22
119,23 July 20 17:33:34,03/07/2020,Personal Reasons,Resigned,1850.0,22
120,23 July 20 17:32:23,13/07/2020,Personal Reasons,Resigned,1188.0,22
121,22 July 20 21:16:53,22/07/2020,Personal Reasons,Resigned,2357.0,30
122,22 July 20 19:03:06,22/07/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,2082.0,23
123,22 July 20 02:13:42,21/07/2020,Other Reason (see notes),Resigned,1235.0,16
124,17 July 20 19:21:02,01/07/2020,Personal Reasons,Resigned,1173.0,18
125,16 July 20 20:28:42,01/07/2020,Other Reason (see notes),Resigned,250.0,13
126,16 July 20 19:37:06,15/07/2020,Affordability of Costs,Resigned,1620.0,20
127,16 July 20 16:55:06,15/07/2020,Other Reason (see notes),Resigned,2843.0,28
128,16 July 20 15:11:17,16/07/2020,Did Not Renew - No reason Given,Terminated,1729.0,31
129,15 July 20 19:21:44,12/07/2020,Did Not Renew - No reason Given,Terminated,1201.0,17
130,9 July 20 21:09:08,08/07/2020,"Company related (e.g. Changed Jobs, Left Company, Lost Employee)",Resigned,280.0,27
131,9 July 20 16:35:37,01/07/2020,Did Not Renew - No reason Given,Resigned,793.0,16
132,7 July 20 17:22:08,07/07/2020,Terminated by Chapter - Attendance,Terminated,2222.0,5
133,6 July 20 20:06:03,01/05/2020,,System,1907.0,30
134,30 June 20 07:06:11,01/05/2020,,System,1388.0,23
