,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,1,0,0,0,0,0,0,0,0,0,0,0,0,790,1
1,3,1,0,0,0,0,0,4,1,0,2,0,16,733,1
2,4,0,0,0,0,0,0,0,1,1,3,26,0,1150,1
3,4,0,0,0,0,1,0,0,0,0,5,0,37,414,1
4,2,2,0,0,0,0,0,0,3,0,6,0,0,1721,1
5,3,1,0,0,0,2,3,0,3,0,8,2605,15,1919,1
6,4,0,0,0,0,2,0,0,0,4,5,158,15,631,1
7,3,1,0,0,0,0,1,5,1,0,11,0,10,2260,1
8,4,0,0,0,0,2,0,1,1,2,7,470,9,313,1
9,4,0,0,0,0,2,1,0,0,0,6,0,13,1267,1
10,4,0,0,0,0,1,0,0,4,0,6,48,12,1870,1
11,4,0,0,0,0,1,3,0,0,5,10,35,17,920,1
12,3,1,0,0,0,1,0,0,2,1,4,100,4,1320,1
13,3,1,0,0,0,0,0,2,2,1,10,0,28,740,1
14,2,0,1,0,1,0,0,0,0,0,5,0,12,1074,1
15,2,1,1,0,0,1,0,4,0,1,6,158,8,2105,1
16,4,0,0,0,0,0,7,0,0,2,7,375,12,1226,1
17,4,0,0,0,0,3,5,0,5,0,6,208,0,2162,1
18,3,1,0,0,0,0,4,0,0,2,12,20,0,1764,1
19,3,1,0,0,0,0,1,0,1,0,7,35,0,2471,1
20,4,0,0,0,0,1,3,2,5,2,6,335,2,945,3
21,4,0,0,0,0,3,0,0,1,2,7,50,4,288,3
22,4,0,0,0,0,0,4,0,0,2,10,756,3,207,3
23,4,0,0,0,0,0,2,0,0,3,10,230,2,2415,3
24,4,0,0,0,0,3,0,0,0,0,3,751,0,2410,3
25,3,1,0,0,0,2,3,1,10,2,6,1346,4,540,3
26,3,1,0,0,0,0,1,0,0,2,3,8605,2,2794,3
27,3,1,0,0,0,3,3,1,8,0,9,1820,3,479,3
28,4,0,0,0,0,4,7,2,4,2,10,1410,13,1617,3
29,4,0,0,0,0,1,2,10,4,0,5,380,2,2307,3
30,4,0,0,0,0,0,3,3,2,2,6,150,5,1224,3
31,4,0,0,0,0,0,2,0,0,5,11,0,5,2797,3
32,3,1,0,0,0,0,3,2,0,3,9,0,0,2612,3
33,3,1,0,0,0,1,6,0,1,5,4,1800,0,1619,3
34,4,0,0,0,0,0,7,0,3,0,4,540,0,1738,3
35,3,1,0,0,0,2,0,0,1,3,5,600,0,465,3
36,4,0,0,0,0,1,3,0,0,9,6,825,5,2852,3
37,3,1,0,0,0,5,3,0,1,3,2,200,2,2764,3
38,4,0,0,0,0,0,0,4,4,1,4,0,1,5,3
39,4,0,0,0,0,4,1,1,5,3,1,0,18,979,3
40,2,2,0,0,0,1,0,4,0,0,3,0,0,851,3
41,4,0,0,0,0,2,2,0,0,2,6,1344,3,1229,5
42,1,0,0,0,0,0,0,0,0,0,0,0,0,108,5
43,4,0,0,0,0,0,3,3,1,1,7,999,0,1247,5
44,3,0,0,0,0,3,4,1,2,1,4,547,4,1248,5
45,4,0,0,0,0,1,2,1,1,0,1,4756,13,337,5
46,4,0,0,0,0,2,1,1,8,0,12,101,9,1812,5
47,4,0,0,0,0,0,0,1,1,6,1,10522,5,260,5
48,4,0,0,0,0,1,5,0,0,7,9,4839,21,1616,5
49,4,0,0,0,0,1,2,1,10,0,4,2058,2,1509,5
50,4,0,0,0,0,0,1,3,6,0,1,1744,0,824,5
51,4,0,0,0,0,0,7,1,5,1,16,227,8,282,5
52,4,0,0,0,0,2,8,1,5,4,19,8502,0,948,5
53,4,0,0,0,0,3,7,1,1,0,21,0,7,2760,5
54,4,0,0,0,0,1,3,2,9,2,4,1961,6,2083,5
55,4,0,0,0,0,3,1,2,5,4,22,450,6,2529,5
56,4,0,0,0,0,5,7,2,3,0,10,341,1,1964,5
57,2,0,0,0,0,0,0,0,0,0,8,0,0,1192,5
58,4,0,0,0,0,0,5,0,3,1,16,615,10,2336,5
59,3,0,0,0,0,0,2,0,3,0,6,247,0,1251,5
60,1,0,0,0,0,0,0,0,0,0,0,0,0,816,5
61,3,0,0,0,0,0,10,2,1,1,19,0,6,1362,5
62,4,0,0,0,0,1,7,0,1,0,13,3630,1,2063,5
63,4,0,0,0,0,0,2,0,1,1,1,540,0,1837,5
64,4,0,0,0,0,1,11,0,10,3,4,1773,1,2774,5
65,4,0,0,0,0,1,6,0,7,0,18,806,6,2916,5
66,4,0,0,0,0,1,2,3,3,0,5,1145,5,2475,5
67,4,0,0,0,0,1,5,0,7,0,5,5171,3,1533,5
68,4,0,0,0,0,3,4,0,7,1,6,2489,1,1675,5
69,3,0,0,0,0,1,1,3,3,0,6,0,0,106,5
70,4,0,0,0,0,0,3,0,9,1,3,515,2,221,5
71,4,0,0,0,0,1,2,1,1,1,6,5098,1,152,5
72,3,0,0,0,1,0,5,0,1,0,4,1809,0,158,8
73,4,0,0,0,0,1,2,0,1,3,7,4575,0,2539,8
74,4,0,0,0,0,1,0,1,0,0,2,0,0,2139,8
75,4,0,0,0,0,0,1,0,0,0,2,490,0,947,8
76,3,0,0,0,1,2,2,0,4,0,2,2350,0,2641,8
77,4,0,0,0,0,4,5,0,1,1,11,81111,0,1614,8
78,3,0,0,0,0,0,0,0,0,0,0,0,0,2448,8
79,4,0,0,0,0,0,7,0,3,0,8,7400,0,1895,8
80,4,0,0,0,0,0,1,2,5,2,13,1552,0,2742,8
81,4,0,0,0,0,1,0,0,4,2,1,540,0,2577,8
82,4,0,0,0,0,0,1,0,0,0,1,0,0,1819,8
83,4,0,0,0,0,0,5,4,2,2,4,0,0,2191,8
84,4,0,0,0,0,0,1,0,3,2,0,0,7,202,8
85,3,0,0,0,0,0,0,0,0,0,0,0,0,2127,8
86,4,0,0,0,0,2,13,0,0,5,6,0,2,1981,8
87,4,0,0,0,0,2,2,1,3,1,7,700,5,2495,8
88,4,0,0,0,0,1,2,0,3,0,3,0,5,1286,8
89,4,0,0,0,0,0,1,4,4,1,2,0,0,2543,8
90,4,0,0,0,0,0,2,1,2,0,1,0,0,895,8
91,4,0,0,0,0,6,5,0,0,2,11,0,0,2697,8
92,4,0,0,0,0,1,0,1,4,0,1,0,0,2628,8
93,4,0,0,0,0,0,2,0,1,0,2,969,0,420,8
94,4,0,0,0,0,2,4,1,6,0,5,497,0,727,8
95,4,0,0,0,0,2,4,2,0,0,2,383,0,1299,8
96,3,0,0,0,1,1,2,0,4,0,1,6358,0,602,8
97,3,0,0,0,1,0,3,0,2,0,7,4670,0,2328,8
98,4,0,0,0,0,0,0,0,2,5,5,80,0,1140,8
99,4,0,0,0,0,0,0,4,1,0,3,900,0,2112,8
100,4,0,0,0,0,7,0,7,2,0,6,279,0,2080,8
101,3,0,0,0,0,0,1,0,1,0,1,0,1,2868,8
102,4,0,0,0,0,0,1,1,2,0,7,5,1,2901,8
103,2,0,0,2,0,0,0,1,2,0,0,4400,0,788,8
104,3,1,0,0,0,0,0,2,9,0,1,399,0,11,8
105,4,0,0,0,0,0,0,1,0,0,3,4237,0,1102,9
106,4,0,0,0,0,0,4,1,3,0,8,0,1,1032,9
107,3,0,0,0,1,1,9,0,4,0,2,5074,0,1996,9
108,1,0,0,0,0,0,0,0,0,0,0,0,0,1800,9
109,4,0,0,0,0,0,0,0,0,0,2,369,14,1541,9
110,4,0,0,0,0,0,1,0,0,0,4,1614,0,488,9
111,3,1,0,0,0,0,1,1,9,0,3,0,0,1198,9
112,4,0,0,0,0,0,0,0,1,0,6,375,0,1854,9
113,4,0,0,0,0,0,0,0,4,0,4,195,2,1294,9
114,3,1,0,0,0,0,0,0,0,0,0,0,0,688,9
115,2,0,0,2,0,0,0,0,0,0,5,0,5,722,9
116,4,0,0,0,0,0,0,0,1,0,6,385,4,1997,9
117,3,0,1,0,0,0,4,1,9,1,3,8681,0,566,9
118,1,0,0,0,0,0,0,0,0,0,0,0,0,2348,9
119,4,0,0,0,0,0,3,0,3,0,3,1980,0,1528,9
120,3,0,0,0,0,0,2,1,0,0,5,0,0,2126,9
121,3,0,0,0,1,0,1,0,1,0,2,0,20,2882,9
122,4,0,0,0,0,1,2,0,4,0,2,2555,0,700,9
123,4,0,0,0,0,1,7,0,0,0,7,3769,3,1925,9
124,4,0,0,0,0,0,0,0,0,0,6,150,0,2659,9
125,4,0,0,0,0,2,1,1,3,0,1,3075,2,438,9
126,4,0,0,0,0,1,1,2,0,0,2,4025,0,2749,9
127,4,0,0,0,0,0,6,3,5,1,4,313,9,317,9
128,3,0,0,0,1,0,2,0,1,0,3,4189,1,2437,9
129,4,0,0,0,0,0,10,0,4,0,0,7916,0,2621,9
130,4,0,0,0,0,2,2,0,6,0,3,2272,3,1313,9
131,4,0,0,0,0,0,4,1,5,1,8,3330,5,1798,10
132,4,0,0,0,0,1,0,5,1,1,5,1000,5,950,10
133,3,0,0,0,1,0,3,0,2,1,10,40,6,1325,10
134,2,1,0,0,1,4,2,0,3,0,5,538,3,2029,10
135,4,0,0,0,0,0,1,0,2,1,3,4600,10,1326,10
136,3,0,0,0,1,0,1,0,0,0,5,0,3,3,10
137,3,0,0,0,1,0,0,1,1,0,3,0,0,890,10
138,4,0,0,0,0,1,3,0,2,1,11,890,3,437,10
139,4,0,0,0,0,0,6,0,3,1,10,400,6,2143,10
140,2,0,0,0,0,0,0,0,0,0,0,0,0,2679,10
141,2,0,0,0,0,0,0,0,1,0,0,0,0,1646,10
142,4,0,0,0,0,0,1,0,0,0,8,0,0,1395,10
143,3,0,0,0,1,0,11,0,5,0,18,5922,11,1476,10
144,4,0,0,0,0,1,0,1,1,0,3,1732,2,121,10
145,4,0,0,0,0,0,0,0,4,0,6,2782,0,170,10
146,4,0,0,0,0,4,2,0,2,0,17,5878,4,676,10
147,4,0,0,0,0,0,0,1,1,0,8,45,3,726,10
148,3,0,0,0,1,0,4,1,6,0,13,84,0,1379,10
149,4,0,0,0,0,0,8,1,4,1,7,28,4,1731,10
150,4,0,0,0,0,0,1,0,3,0,6,0,0,2131,10
151,3,0,0,0,1,0,0,0,1,1,9,0,1,1124,10
152,4,0,0,0,0,1,5,1,2,0,9,180,8,130,10
153,4,0,0,0,0,0,2,0,2,0,1,215,0,1873,10
154,4,0,0,0,0,0,5,0,4,1,4,0,0,1217,10
155,4,0,0,0,0,4,1,2,5,0,9,521,6,136,10
156,4,0,0,0,0,2,1,0,0,0,18,0,2,1652,11
157,4,0,0,0,0,2,2,0,1,0,4,1946,5,1904,11
158,4,0,0,0,0,1,2,1,2,0,6,5905,1,1682,11
159,4,0,0,0,0,0,2,0,0,0,4,0,3,2345,11
160,4,0,0,0,0,6,2,3,0,0,8,20,5,1910,11
161,4,0,0,0,0,3,1,2,1,0,5,556,7,2306,11
162,4,0,0,0,0,1,0,0,5,1,3,4115,0,577,11
163,4,0,0,0,0,2,1,0,1,0,10,106,7,1645,11
164,4,0,0,0,0,3,1,0,6,2,6,3010,1,843,11
165,4,0,0,0,0,3,0,3,5,0,3,156,5,1139,11
166,4,0,0,0,0,2,10,2,3,0,3,680,5,2588,11
167,4,0,0,0,0,0,0,10,3,0,3,3923,0,2849,11
168,4,0,0,0,0,3,0,0,1,0,8,1028,0,1073,11
169,4,0,0,0,0,0,0,1,0,0,2,14450,0,923,11
170,4,0,0,0,0,0,0,1,2,0,6,2250,6,1237,11
171,4,0,0,0,0,3,3,3,0,0,8,1030,5,1298,11
172,4,0,0,0,0,4,5,1,1,0,5,5110,9,1071,11
173,4,0,0,0,0,1,5,1,0,0,14,730,8,911,11
174,4,0,0,0,0,4,0,5,10,0,17,200,0,985,11
175,4,0,0,0,0,0,1,7,1,0,5,0,2,1122,11
176,4,0,0,0,0,3,4,1,2,1,13,3951,1,839,11
177,4,0,0,0,0,1,0,1,1,0,1,0,0,1744,11
178,4,0,0,0,0,1,1,3,2,0,6,3746,0,745,11
179,4,0,0,0,0,1,3,1,2,0,14,7540,176,1345,11
180,4,0,0,0,0,4,11,6,7,0,12,12405,22,2507,11
181,4,0,0,0,0,3,1,0,1,0,4,6573,7,2091,16
182,4,0,0,0,0,1,1,2,2,0,2,4617,3,277,16
183,4,0,0,0,0,0,0,0,1,1,1,0,1,2873,16
184,4,0,0,0,0,2,1,2,2,0,2,1512,5,534,16
185,2,1,0,0,1,0,1,0,3,0,3,0,0,516,16
186,4,0,0,0,0,0,2,1,5,0,1,709,1,850,16
187,4,0,0,0,0,1,6,0,0,0,3,1420,41,792,16
188,4,0,0,0,0,0,3,1,0,0,4,0,3,1782,16
189,3,0,0,1,0,0,1,1,2,0,6,0,4,527,16
190,4,0,0,0,0,1,1,0,1,0,3,2206,2,491,16
191,4,0,0,0,0,0,4,2,1,0,4,4611,0,2103,16
