,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,0,3,3,8,0,15,9964,8,1229,5
1,4,0,0,0,0,2,1,1,29,0,7,1282,1,682,5
2,4,0,0,0,0,0,2,0,0,0,5,92,4,649,5
3,3,0,0,0,1,4,2,1,5,0,2,870,7,1681,5
4,4,0,0,0,0,1,4,0,3,0,3,1174,4,2296,5
5,4,0,0,0,0,0,52,0,7,0,19,53327,5,2184,5
6,4,0,0,0,0,2,1,1,0,0,3,600,3,2057,5
7,2,0,0,0,2,5,0,1,4,0,3,579,3,2297,5
8,4,0,0,0,0,0,4,2,9,0,5,1653,2,1509,5
9,3,0,1,0,0,1,4,1,2,0,9,0,3,90,5
10,4,0,0,0,0,0,6,0,12,0,2,6653,2,824,5
11,4,0,0,0,0,0,7,3,4,0,7,3370,1,2721,5
12,4,0,0,0,0,0,0,0,1,0,2,0,0,2705,5
13,2,0,0,0,0,0,0,0,0,0,0,0,0,2324,5
14,4,0,0,0,0,2,5,6,11,1,12,183,11,1076,5
15,4,0,0,0,0,1,13,0,12,0,1,4070,3,948,5
16,3,1,0,0,0,1,8,1,3,0,7,705,15,2760,5
17,4,0,0,0,0,2,3,0,7,0,3,24146,4,2083,5
18,4,0,0,0,0,1,7,1,6,0,6,380,4,103,5
19,4,0,0,0,0,2,18,1,5,1,13,3341,4,173,5
20,4,0,0,0,0,2,5,1,4,0,6,141,1,490,5
21,4,0,0,0,0,2,2,3,2,1,4,515,5,1635,5
22,4,0,0,0,0,0,4,2,1,2,7,110,13,2336,5
23,4,0,0,0,0,0,5,0,2,0,5,60249,7,1251,5
24,4,0,0,0,0,0,15,0,4,1,7,2006,3,1897,5
25,4,0,0,0,0,0,3,1,11,0,8,59,5,2565,5
26,4,0,0,0,0,1,2,2,3,0,7,2947,5,2452,5
27,3,0,0,0,1,1,4,1,3,0,5,826,0,1106,5
28,3,0,0,0,0,0,0,0,1,0,0,0,0,2516,5
29,3,0,0,1,0,1,5,0,4,0,10,10873,2,2063,5
30,4,0,0,0,0,2,4,0,7,0,7,3255,2,1260,5
31,4,0,0,0,0,2,6,0,0,0,6,2121,7,1837,5
32,4,0,0,0,0,1,3,1,4,0,3,476,3,2398,5
33,4,0,0,0,0,0,2,0,0,1,3,1024,2,2916,5
34,4,0,0,0,0,3,6,1,8,0,9,1332,6,369,5
35,4,0,0,0,0,1,1,1,12,0,9,810,7,1533,5
36,4,0,0,0,0,1,7,4,5,1,1,1237,3,584,5
37,4,0,0,0,0,2,1,1,9,0,6,1536,3,2566,5
38,4,0,0,0,0,1,5,4,11,1,10,1481,6,484,5
39,4,0,0,0,0,2,2,3,5,0,4,53,6,2186,5
40,4,0,0,0,0,2,3,1,1,0,10,1225,6,1363,5
41,4,0,0,0,0,2,6,1,7,1,6,100,10,1742,5
42,4,0,0,0,0,1,1,0,8,1,4,2689,8,221,5
43,4,0,0,0,0,2,0,0,0,4,8,338,8,336,7
44,4,0,0,0,0,3,2,3,4,0,4,1193,1,2158,7
45,4,0,0,0,0,0,2,0,0,0,0,2155,7,535,7
46,4,0,0,0,0,1,1,2,8,1,5,334,0,2379,7
47,4,0,0,0,0,3,2,1,0,0,11,780,4,1055,7
48,4,0,0,0,0,1,3,3,2,2,5,695,2,2430,7
49,3,0,0,0,1,0,2,0,1,1,4,502,5,1386,7
50,4,0,0,0,0,2,1,0,0,1,1,485,8,1839,7
51,4,0,0,0,0,3,0,0,0,0,7,80,7,2271,7
52,4,0,0,0,0,3,1,1,1,2,6,775,6,1816,7
53,4,0,0,0,0,3,2,4,3,0,1,786,0,1527,7
54,4,0,0,0,0,0,5,3,2,2,4,4499,0,2671,7
55,2,0,0,0,0,5,3,1,3,0,0,162,0,2680,7
56,3,0,0,0,0,0,0,0,0,0,0,0,0,116,7
57,4,0,0,0,0,1,3,0,2,1,4,421,7,1482,7
58,4,0,0,0,0,0,0,2,2,1,4,0,6,1479,7
59,3,1,0,0,0,0,1,2,11,0,2,1072,0,345,7
60,4,0,0,0,0,1,14,4,7,4,5,940,6,269,7
61,4,0,0,0,0,3,1,0,0,0,8,1848,27,2686,7
62,4,0,0,0,0,0,4,0,3,0,0,12097,0,830,7
63,3,0,0,0,0,0,0,2,2,1,1,80,0,1893,7
64,3,1,0,0,0,0,3,1,14,0,2,1011,11,349,7
65,3,0,0,0,1,2,1,0,1,0,1,7264,2,2597,7
66,3,0,0,0,1,0,1,3,5,0,2,416,19,2536,7
67,4,0,0,0,0,0,2,0,0,0,5,80,5,415,7
68,3,1,0,0,0,2,3,1,2,2,8,5634,6,1884,7
69,3,0,0,0,1,5,3,0,0,1,3,135,1,217,7
70,4,0,0,0,0,1,2,2,9,1,8,484,20,852,7
71,4,0,0,0,0,1,0,0,0,0,4,332,0,769,7
72,1,2,0,0,1,0,1,0,0,0,0,574,0,1874,7
73,4,0,0,0,0,1,7,0,1,0,2,143,9,1903,7
74,3,0,0,0,1,0,1,7,3,0,2,0,2,1853,8
75,3,1,0,0,0,0,0,1,2,0,3,0,0,1468,8
76,2,0,0,2,0,3,1,1,1,0,4,0,1,2115,8
77,4,0,0,0,0,1,2,0,0,0,29,600,13,2267,8
78,4,0,0,0,0,3,2,1,5,1,3,22476,4,99,8
