,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,2,7,4,1,4,48,0,790,1
1,2,0,0,0,1,0,0,0,1,0,0,368,0,733,1
2,2,0,0,0,0,3,2,2,0,0,0,248,28,2850,1
3,3,1,0,0,0,3,7,0,1,0,9,1977,0,2335,1
4,4,0,0,0,0,0,4,0,5,0,3,646,5,1919,1
5,2,2,0,0,0,0,0,0,0,0,1,2074,0,631,1
6,4,0,0,0,0,1,0,0,0,0,4,0,3,2114,1
7,2,0,0,0,2,1,5,0,2,0,1,120,2,313,1
8,4,0,0,0,0,2,4,0,2,0,6,40,3,1267,1
9,4,0,0,0,0,0,1,2,3,0,2,2615,5,1870,1
10,1,1,0,0,0,0,0,1,0,0,1,0,0,432,1
11,4,0,0,0,0,1,2,1,0,0,5,0,4,1320,1
12,3,0,0,0,1,4,1,1,6,0,9,1717,0,740,1
13,4,0,0,0,0,0,0,1,3,0,3,0,0,1226,1
14,4,0,0,0,0,2,2,0,1,0,7,0,27,2162,1
15,4,0,0,0,0,0,1,0,0,1,2,0,2,1978,1
16,3,0,0,0,1,0,0,2,2,0,2,0,0,2471,1
17,3,1,0,0,0,0,0,1,1,0,5,0,5,941,1
18,0,1,0,0,0,0,0,0,0,0,0,0,0,945,3
19,4,1,0,0,0,0,0,0,1,0,11,0,3,2432,3
20,5,0,0,0,0,1,5,2,0,0,3,1000,4,2366,3
21,4,1,0,0,0,0,5,0,1,0,10,1149,13,2415,3
22,3,1,1,0,0,0,6,0,1,2,6,0,7,540,3
23,5,0,0,0,0,0,0,1,6,1,5,1884,8,1371,3
24,0,3,0,0,0,0,0,0,4,0,1,0,0,2431,3
25,2,2,0,0,0,0,0,0,7,1,4,0,0,1617,3
26,0,1,0,0,0,0,0,0,0,0,0,0,0,1224,3
27,5,0,0,0,0,1,6,0,1,0,4,149,0,2292,3
28,3,2,0,0,0,0,0,0,2,0,2,2625,5,1421,3
29,0,1,0,0,0,0,0,0,0,0,0,0,0,2612,3
30,5,0,0,0,0,0,7,1,0,0,5,0,23,2612,3
31,5,0,0,0,0,0,3,0,0,0,7,0,3,1738,3
32,4,1,0,0,0,0,5,1,0,0,1,1198,28,2791,3
33,3,1,0,0,0,0,1,0,2,2,5,8000,3,2852,3
34,5,0,0,0,0,1,2,0,2,1,2,23,4,2014,3
35,4,1,0,0,0,1,1,0,2,2,7,723,10,2764,3
36,3,0,2,0,0,0,0,0,0,0,7,0,5,5,3
37,5,0,0,0,0,0,2,0,1,2,8,149,4,979,3
38,5,0,0,0,0,0,5,0,10,1,5,600,2,556,3
39,3,1,1,0,0,0,2,1,5,2,7,0,3,751,3
40,5,0,0,0,0,1,3,0,1,1,7,0,6,851,3
41,4,1,0,0,0,1,0,1,0,0,1,375,5,2640,3
42,4,1,0,0,0,0,0,0,3,1,6,0,1,1551,3
43,4,1,0,0,0,1,6,1,2,2,8,18437,9,1229,5
44,5,0,0,0,0,1,4,0,8,0,6,5525,5,682,5
45,4,1,0,0,0,0,15,0,4,1,2,2504,2,1248,5
46,4,1,0,0,0,4,1,1,4,1,4,6272,5,1681,5
47,5,0,0,0,0,0,32,2,37,0,14,13123,10,2184,5
48,1,0,0,0,0,0,0,0,0,0,0,0,0,1812,5
49,1,0,0,4,0,0,0,0,0,0,2,68515,0,1616,5
50,4,1,0,0,0,0,5,0,2,0,0,226,0,45,5
51,4,0,0,0,1,1,8,0,6,0,5,1254,3,1509,5
52,5,0,0,0,0,1,5,2,11,0,4,7879,2,824,5
53,5,0,0,0,0,0,5,0,2,0,22,652,13,282,5
54,5,0,0,0,0,1,8,2,5,0,8,4630,3,2721,5
55,5,0,0,0,0,0,4,0,4,0,2,28415,4,948,5
56,5,0,0,0,0,2,4,2,8,0,7,4255,13,2760,5
57,5,0,0,0,0,2,5,1,12,0,6,4122,7,2083,5
58,5,0,0,0,0,1,5,0,4,0,10,797,8,103,5
59,3,2,0,0,0,1,3,1,7,0,6,0,12,2529,5
60,5,0,0,0,0,1,11,1,1,0,13,14222,8,1192,5
61,5,0,0,0,0,0,5,0,3,0,8,3614,40,2336,5
62,5,0,0,0,0,0,7,0,3,1,4,0,6,1251,5
63,4,1,0,0,0,3,0,2,9,0,2,259,4,16,5
64,4,0,0,0,1,0,2,1,5,1,1,1177,2,1048,5
65,5,0,0,0,0,2,5,0,2,0,6,406,4,1106,5
66,5,0,0,0,0,2,2,0,2,0,6,5703,5,1879,5
67,5,0,0,0,0,1,4,3,0,0,4,2232,12,1470,5
68,4,1,0,0,0,0,4,0,2,1,9,2453,6,2063,5
69,5,0,0,0,0,3,2,3,8,0,8,158,7,2190,5
