,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,0,0,0,0,0,0,0,0,0,1,0,0,733,1
1,3,0,0,0,0,0,0,0,0,0,0,0,0,1150,1
2,3,0,0,0,0,0,0,0,0,0,2,0,0,414,1
3,3,0,0,0,0,0,0,0,0,0,0,0,0,1721,1
4,4,0,0,0,0,0,0,0,0,0,1,0,0,1919,1
5,3,1,0,0,0,0,0,0,0,0,0,0,0,631,1
6,2,1,0,0,0,0,0,0,0,0,3,0,0,2260,1
7,2,1,0,0,0,0,0,0,0,0,1,0,0,313,1
8,3,0,0,0,0,0,0,0,0,0,5,0,0,1267,1
9,3,1,0,0,0,0,0,0,0,0,0,0,0,1870,1
10,4,0,0,0,0,0,0,0,0,0,5,0,14,920,1
11,4,0,0,0,0,0,0,0,0,0,2,0,8,1320,1
12,3,0,0,0,0,0,0,0,0,0,2,0,0,740,1
13,3,0,0,0,0,0,0,0,0,0,0,0,0,1074,1
14,3,0,0,0,0,0,0,0,0,0,0,0,0,2105,1
15,2,0,0,0,1,0,0,0,0,0,2,0,0,1226,1
16,3,0,0,0,0,0,0,0,0,0,0,0,0,2162,1
17,2,0,0,0,0,0,0,0,0,0,0,0,0,1764,1
18,3,0,0,0,0,0,0,0,0,0,2,0,0,2471,1
19,5,0,0,0,0,0,0,0,0,0,4,0,0,945,3
20,5,0,0,0,0,0,0,1,0,0,2,0,0,288,3
21,5,0,0,0,0,0,0,0,1,0,3,0,0,207,3
22,4,1,0,0,0,1,0,0,0,0,5,0,3,2415,3
23,5,0,0,0,0,0,0,0,1,0,4,0,4,2410,3
24,5,0,0,0,0,3,3,1,1,0,3,0,4,540,3
25,4,1,0,0,0,2,2,0,1,0,1,0,3,2794,3
26,4,1,0,0,0,0,0,0,2,0,1,391,0,479,3
27,5,0,0,0,0,0,1,1,3,0,4,150,0,1617,3
28,4,1,0,0,0,0,2,0,1,0,3,1400,3,2307,3
29,3,1,0,0,0,0,0,0,0,0,1,0,3,1224,3
30,5,0,0,0,0,0,0,0,0,0,2,0,0,2797,3
31,4,1,0,0,0,0,0,0,0,0,3,0,0,2612,3
32,5,0,0,0,0,0,6,0,3,0,9,0,0,1619,3
33,4,1,0,0,0,0,0,0,0,0,2,0,0,1738,3
34,5,0,0,0,0,0,2,0,0,0,2,0,0,465,3
35,5,0,0,0,0,0,0,1,0,0,0,0,0,2852,3
36,5,0,0,0,0,0,1,0,0,0,2,0,1,2764,3
37,4,0,0,0,0,0,0,0,1,0,2,0,4,5,3
38,5,0,0,0,0,0,0,0,2,0,3,0,0,979,3
39,4,0,0,0,0,0,0,2,0,0,0,0,0,851,3
40,5,0,0,0,0,2,3,0,0,0,8,9647,7,1229,5
41,5,0,0,0,0,2,6,3,4,0,10,0,0,1247,5
42,5,0,0,0,0,3,2,1,2,2,13,3188,19,337,5
43,5,0,0,0,0,3,4,1,1,0,10,75,6,1812,5
44,5,0,0,0,0,3,1,2,5,0,6,536434,0,260,5
45,5,0,0,0,0,2,9,0,0,0,8,994377,0,1616,5
46,5,0,0,0,0,2,0,1,18,0,4,1062,2,1509,5
47,2,0,0,0,0,0,0,0,0,0,0,0,0,1152,5
48,4,0,0,0,1,9,1,2,5,0,1,694,0,824,5
49,1,0,0,0,0,0,0,0,1,1,0,1172,0,282,5
50,5,0,0,0,0,2,4,2,5,0,3,2226,1,948,5
51,3,0,0,0,0,2,2,2,1,0,4,24919,6,2760,5
52,4,0,0,0,1,0,7,11,3,0,7,2743,5,2083,5
53,5,0,0,0,0,0,7,0,6,1,6,50,0,2529,5
54,1,0,0,0,0,0,0,0,0,0,0,0,0,1964,5
55,4,1,0,0,0,0,1,2,6,0,5,390,8,549,5
56,5,0,0,0,0,3,5,1,1,0,11,25194,15,2336,5
57,3,1,1,0,0,0,2,0,2,0,3,8100,0,2063,5
58,5,0,0,0,0,0,1,0,0,0,1,1096,0,1837,5
59,5,0,0,0,0,0,17,1,3,0,7,6670,4,2774,5
60,3,0,0,2,0,1,3,1,8,0,4,20192,0,2916,5
61,5,0,0,0,0,1,2,4,1,5,6,167539,9,2475,5
62,5,0,0,0,0,0,1,1,7,1,12,0,32,1533,5
63,5,0,0,0,0,3,2,1,4,0,17,888,5,1675,5
64,5,0,0,0,0,0,5,1,2,2,2,1574,8,221,5
65,3,0,0,0,2,0,3,1,2,1,10,0,10,152,5
66,4,1,0,0,0,2,2,0,8,0,3,1235,1,2701,8
67,4,0,0,0,1,3,3,0,2,0,2,9753,0,158,8
68,4,0,0,0,1,0,0,0,1,1,8,20586,5,2539,8
69,1,0,0,0,4,0,0,0,0,0,0,0,0,2139,8
70,5,0,0,0,0,0,4,0,1,0,9,1760,0,947,8
71,2,1,0,0,0,0,0,0,1,0,0,0,0,1153,8
72,4,0,0,0,1,0,3,1,1,2,2,145,0,2641,8
73,4,0,0,0,1,5,5,0,2,3,4,103466,3,1614,8
74,2,3,0,0,0,0,0,0,0,0,0,225,0,2448,8
75,4,0,0,0,1,2,7,0,1,0,3,945,3,1895,8
76,4,0,0,0,1,0,6,1,4,1,4,85,0,2742,8
77,5,0,0,0,0,1,5,2,17,0,1,170,10,2577,8
78,5,0,0,0,0,1,4,0,2,2,3,0,0,1819,8
79,5,0,0,0,0,0,16,2,11,0,4,10845,3,2191,8
80,5,0,0,0,0,0,4,1,4,3,6,432,0,202,8
81,3,2,0,0,0,0,0,0,0,0,0,0,0,2127,8
82,5,0,0,0,0,3,3,0,0,1,2,203,0,1981,8
83,5,0,0,0,0,3,6,2,3,1,6,331,4,2495,8
84,5,0,0,0,0,0,3,1,0,1,4,532,0,1286,8
85,5,0,0,0,0,0,2,3,6,0,4,0,0,2543,8
86,4,1,0,0,0,0,3,0,3,0,2,0,0,895,8
87,4,0,0,0,1,0,0,2,1,2,0,0,0,2697,8
88,2,1,0,0,2,1,1,0,3,0,1,0,0,2628,8
89,4,1,0,0,0,1,1,0,0,0,1,3195,1,420,8
90,5,0,0,0,0,0,0,0,3,0,4,6396,0,727,8
91,4,0,0,0,1,1,3,2,1,2,2,15234,0,1299,8
92,5,0,0,0,0,2,2,0,0,0,0,2431,0,602,8
93,4,0,0,0,1,0,15,1,4,0,6,3359,6,2328,8
94,5,0,0,0,0,0,4,3,3,3,8,6020,0,1140,8
