,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,2,0,6,9,1,2,0,1,790,1
1,2,2,0,0,0,0,2,0,0,0,0,0,56,733,1
2,4,0,0,0,0,1,5,0,3,0,9,4930,5,2335,1
3,3,1,0,0,0,1,2,0,1,0,1,12630,0,1919,1
4,3,1,0,0,0,0,0,0,0,0,4,0,0,2114,1
5,4,0,0,0,0,1,0,2,4,2,5,595,2,313,1
6,4,0,0,0,0,0,3,0,0,1,2,210,3,1267,1
7,4,0,0,0,0,2,10,3,1,0,7,1400,3,147,1
8,4,0,0,0,0,0,1,0,4,0,1,390,2,1870,1
9,4,0,0,0,0,0,0,0,1,0,0,0,2,432,1
10,4,0,0,0,0,0,0,0,0,0,6,460,4,1320,1
11,4,0,0,0,0,5,0,0,5,0,4,512,5,740,1
12,1,2,0,0,1,0,0,0,0,0,0,65,0,1226,1
13,4,0,0,0,0,0,1,0,1,0,3,7125,0,2162,1
14,3,1,0,0,0,0,1,0,1,0,2,0,0,1978,1
15,4,0,0,0,0,0,3,0,0,1,1,473,0,2471,1
16,4,0,0,0,0,0,3,1,1,1,3,284,0,941,1
17,4,0,0,0,0,0,3,0,0,0,0,0,2,2432,3
18,4,0,0,0,0,0,2,0,0,0,3,0,2,2366,3
19,4,0,0,0,0,2,0,1,3,0,8,0,2,1417,3
20,2,0,2,0,0,0,0,0,1,0,4,0,9,2415,3
21,2,0,0,0,0,0,1,0,2,0,1,0,0,540,3
22,3,1,0,0,0,0,1,0,0,0,1,240,2,1371,3
23,2,0,0,0,0,0,0,0,0,0,0,0,0,2431,3
24,3,1,0,0,0,0,1,0,0,0,3,5800,0,2292,3
25,4,0,0,0,0,0,0,0,1,0,3,0,0,2127,3
26,3,0,0,0,0,0,0,0,0,0,2,962,0,1421,3
27,4,0,0,0,0,0,0,0,0,0,0,0,0,1581,3
28,4,0,0,0,0,0,10,2,2,0,5,0,0,2612,3
29,4,0,0,0,0,0,3,0,0,0,3,0,8,1738,3
30,2,1,0,1,0,0,0,1,2,0,1,0,1,2791,3
31,3,1,0,0,0,0,2,0,2,0,3,0,2,2764,3
32,2,1,1,0,0,0,1,0,1,0,4,0,5,5,3
33,4,0,0,0,0,0,2,0,2,1,4,1495,6,979,3
34,3,0,0,0,1,0,0,0,3,0,1,1645,3,556,3
35,3,0,1,0,0,0,0,0,3,0,2,0,7,751,3
36,3,1,0,0,0,1,0,0,0,0,2,0,5,851,3
37,4,0,0,0,0,0,1,0,2,1,3,0,2,2640,3
38,4,0,0,0,0,0,0,0,0,0,0,0,0,1551,3
39,2,0,0,0,2,1,4,1,5,0,9,69783,8,1229,5
40,4,0,0,0,0,0,4,1,8,0,4,3232,5,682,5
41,4,0,0,0,0,4,2,2,6,0,4,8502,8,1248,5
42,3,1,0,0,0,2,0,0,1,0,1,23120,2,1681,5
43,4,0,0,0,0,0,17,2,15,2,19,9583,8,2184,5
44,1,0,0,0,0,0,0,0,0,0,0,84,0,1616,5
45,1,3,0,0,0,0,0,1,2,0,0,9120,0,45,5
46,4,0,0,0,0,0,9,3,3,1,10,9075,2,1509,5
47,4,0,0,0,0,3,0,0,3,0,4,5691,3,824,5
48,2,2,0,0,0,0,3,0,3,0,2,10121,0,282,5
49,4,0,0,0,0,0,4,0,6,0,9,2149,2,2721,5
50,3,1,0,0,0,2,7,1,4,0,5,14558,6,948,5
51,4,0,0,0,0,2,4,3,2,1,11,2643,10,2760,5
52,4,0,0,0,0,1,6,0,66,0,7,1523,8,2083,5
53,4,0,0,0,0,4,3,4,3,0,12,157,10,103,5
54,2,2,0,0,0,1,1,2,4,0,2,270,5,2529,5
55,4,0,0,0,0,2,68,3,1,0,6,9171,3,1192,5
56,4,0,0,0,0,1,1,1,5,3,2,950,19,2336,5
57,3,0,0,0,1,1,3,0,0,1,0,1301,4,1251,5
58,4,0,0,0,0,1,1,2,6,0,1,4476,7,16,5
59,4,0,0,0,0,2,0,6,7,1,7,733,4,2452,5
60,3,0,0,0,1,1,5,1,2,0,8,2451,1,1048,5
61,1,1,0,0,2,1,3,1,0,0,0,0,3,1106,5
62,2,0,0,2,0,0,0,0,0,0,0,312,0,1879,5
63,4,0,0,0,0,3,1,0,0,0,1,2448,12,1470,5
64,4,0,0,0,0,0,9,1,1,1,10,2770,4,2063,5
65,1,1,1,0,1,2,2,1,7,0,3,50,6,2190,5
66,4,0,0,0,0,2,1,0,1,0,2,2498,3,1837,5
67,3,1,0,0,0,1,2,1,2,1,2,686,7,2398,5
68,4,0,0,0,0,1,6,4,6,0,4,8199,7,2774,5
69,4,0,0,0,0,2,2,2,4,0,2,2702,6,2916,5
70,2,1,0,0,1,0,4,1,0,0,8,5121,6,1211,5
71,1,2,1,0,0,0,5,0,2,0,1,63488,1,2475,5
72,4,0,0,0,0,0,3,1,7,0,7,424,2,1533,5
73,4,0,0,0,0,1,3,1,0,0,10,4854,8,2840,5
74,4,0,0,0,0,4,11,0,0,0,14,6613,11,239,5
75,4,0,0,0,0,4,3,3,11,0,22,120,13,1728,5
76,4,0,0,0,0,0,5,0,4,0,1,5309,6,221,5
77,4,0,0,0,0,0,2,0,2,0,6,3293,2,152,5
78,4,0,0,0,0,0,0,5,2,0,3,0,3,1853,8
79,4,0,0,0,0,0,2,1,0,0,7,5481,3,2539,8
80,2,0,0,2,0,0,0,0,3,0,0,0,0,475,8
81,4,0,0,0,0,1,3,0,1,0,2,7296,0,947,8
82,2,0,0,0,0,0,0,0,1,0,1,4100,0,2641,8
83,4,0,0,0,0,2,3,0,0,0,8,1500,4,1614,8
84,3,0,0,0,1,0,1,0,1,0,0,1088,0,1895,8
85,3,1,0,0,0,1,2,0,3,0,5,228,2,2742,8
86,4,0,0,0,0,0,1,3,4,0,5,200,4,2577,8
87,4,0,0,0,0,1,4,0,1,0,4,170,7,1819,8
88,4,0,0,0,0,0,2,1,5,0,5,550,6,2191,8
89,4,0,0,0,0,1,9,0,2,0,3,319,10,202,8
90,3,1,0,0,0,1,1,1,3,0,3,4745,0,1318,8
91,4,0,0,0,0,5,4,1,7,0,12,0,8,1204,8
92,3,1,0,0,0,0,2,1,2,0,5,600,1,2786,8
93,3,1,0,0,0,0,0,0,2,0,0,592,0,1353,8
94,4,0,0,0,0,0,3,2,1,0,1,375,1,1033,8
95,3,0,0,0,1,1,3,0,0,0,2,595,12,2495,8
96,4,0,0,0,0,0,3,0,0,0,0,0,0,1286,8
97,4,0,0,0,0,0,0,1,7,0,2,0,0,2543,8
98,3,1,0,0,0,0,0,0,0,0,0,0,0,895,8
99,4,0,0,0,0,1,1,0,0,0,0,0,2,420,8
100,4,0,0,0,0,2,4,0,1,0,3,85,13,727,8
101,3,0,0,0,1,1,2,1,0,0,3,1554,0,1299,8
102,3,0,0,0,1,0,3,0,3,0,4,0,1,2328,8
103,4,0,0,0,0,4,3,1,1,1,4,1500,6,1140,8
104,4,0,0,0,0,1,0,0,2,0,4,835,4,752,8
105,4,0,0,0,0,2,3,2,2,0,5,0,4,2112,8
106,4,0,0,0,0,2,1,5,6,2,5,6887,1,2080,8
107,4,0,0,0,0,0,0,0,0,0,0,0,0,2868,8
108,3,0,0,0,1,0,0,0,2,0,7,4550,2,2901,8
109,4,0,0,0,0,1,1,1,3,0,2,0,4,2279,8
110,0,4,0,0,0,0,0,0,0,0,1,0,0,1996,9
111,4,0,0,0,0,0,0,1,1,0,2,11342,0,1541,9
112,2,0,0,0,1,0,0,0,0,0,0,2015,0,1601,9
113,4,0,0,0,0,2,0,0,0,0,1,0,0,488,9
114,4,0,0,0,0,1,12,0,2,2,13,104,36,411,9
115,3,1,0,0,0,0,6,1,0,0,2,0,0,1444,9
116,4,0,0,0,0,0,1,1,5,2,4,0,4,1294,9
117,4,0,0,0,0,0,2,0,0,0,0,0,1,1997,9
118,3,0,0,0,1,2,2,0,14,0,3,1157,12,651,9
119,4,0,0,0,0,0,18,0,4,0,0,15424,6,566,9
120,4,0,0,0,0,0,3,0,2,2,2,9277,4,1528,9
121,4,0,0,0,0,1,3,0,4,1,0,0,3,2126,9
122,1,1,0,0,0,0,0,0,1,0,0,0,0,438,9
123,4,0,0,0,0,0,2,0,4,0,0,789,6,2454,9
124,4,0,0,0,0,0,2,2,1,0,4,2208,8,2749,9
125,2,0,0,0,2,0,1,0,0,0,1,0,1,2358,9
126,0,4,0,0,0,0,0,0,0,0,0,0,0,2338,9
127,4,0,0,0,0,0,1,0,1,0,0,0,3,929,9
128,4,0,0,0,0,0,0,0,1,0,1,0,1,1346,9
129,4,0,0,0,0,0,0,0,3,1,1,0,9,1313,9
130,4,0,0,0,0,0,3,0,1,0,10,2884,10,1798,10
131,4,0,0,0,0,0,0,1,1,0,0,554,0,950,10
132,4,0,0,0,0,2,4,1,2,3,18,0,7,2293,10
133,3,1,0,0,0,0,2,0,1,0,1,14270,0,1325,10
134,4,0,0,0,0,2,4,0,0,0,7,192,20,1326,10
135,3,0,0,0,1,5,5,3,7,0,19,0,3,1703,10
136,1,2,0,0,1,0,0,0,0,0,2,0,0,3,10
137,4,0,0,0,0,2,3,0,0,0,6,0,0,890,10
138,4,0,0,0,0,1,10,0,1,0,15,356,3,836,10
