,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,5,0,0,0,0,0,3,0,6,0,5,4867,3,682,5
1,5,0,0,0,0,0,2,0,0,1,10,697,8,2822,5
2,5,0,0,0,0,1,6,0,6,2,14,4395,13,1810,5
3,5,0,0,0,0,4,7,0,11,0,8,1221,2,2624,5
4,5,0,0,0,0,7,17,3,7,2,45,11269,4,2184,5
5,5,0,0,0,0,0,1,0,2,0,3,482,3,2057,5
6,5,0,0,0,0,1,5,0,12,0,11,1137,4,212,5
7,5,0,0,0,0,2,10,4,11,0,16,71468,10,2721,5
8,4,1,0,0,0,0,4,1,7,0,4,354,7,1076,5
9,4,0,1,0,0,1,6,0,4,0,1,2356,3,948,5
10,4,0,0,1,0,0,1,1,3,0,1,16172,8,2760,5
11,4,0,0,0,1,0,15,0,9,0,2,2206,0,2083,5
12,5,0,0,0,0,0,3,0,5,0,8,5037,4,103,5
13,4,0,1,0,0,0,4,0,5,0,4,1856,4,173,5
14,5,0,0,0,0,0,3,0,6,2,10,1104,3,490,5
15,5,0,0,0,0,2,11,8,5,0,16,4788,3,1635,5
16,5,0,0,0,0,0,3,1,5,0,9,3042,3,2731,5
17,5,0,0,0,0,1,3,0,2,1,8,1450,3,1251,5
18,2,0,0,3,0,0,3,0,1,0,2,6420,4,1897,5
19,5,0,0,0,0,0,6,0,8,0,9,18754,1,2228,5
20,4,1,0,0,0,2,2,0,0,0,3,1104,3,1106,5
21,3,0,0,2,0,0,1,0,1,0,3,2172,0,2063,5
22,5,0,0,0,0,1,11,0,1,0,7,1262,4,1837,5
23,4,0,1,0,0,0,3,2,1,0,3,1399,3,2398,5
24,4,0,1,0,0,0,8,0,1,0,9,20675,3,2916,5
25,5,0,0,0,0,1,8,2,3,0,8,23431,7,369,5
26,5,0,0,0,0,2,2,1,1,0,11,927,4,1533,5
27,5,0,0,0,0,0,2,1,3,0,14,6013,2,418,5
28,4,0,0,0,1,3,0,5,1,0,3,720,2,2566,5
29,5,0,0,0,0,3,2,6,5,0,4,5826,2,484,5
30,5,0,0,0,0,1,4,1,4,0,8,18026,4,1742,5
31,3,0,0,0,0,1,2,0,0,0,0,1300,0,590,7
32,3,0,0,0,0,2,2,0,0,0,1,552,0,2067,7
33,2,0,0,0,0,0,0,1,0,0,1,0,2,1261,7
34,2,1,0,0,0,1,0,0,0,0,1,130,0,336,7
35,1,0,0,0,0,0,0,0,0,0,0,0,0,1409,7
36,2,1,0,0,0,0,4,0,1,1,6,1157,6,1386,7
37,2,1,0,0,0,0,0,3,4,0,2,0,0,193,7
38,2,0,0,0,0,0,0,0,0,0,2,0,1,2508,7
39,0,0,0,3,0,0,0,1,1,0,0,164,0,1295,7
40,3,0,0,0,0,0,2,1,0,1,7,0,2,2271,7
41,3,0,0,0,0,1,0,0,0,0,0,0,17,116,7
42,2,1,0,0,0,0,0,0,1,0,0,0,4,2835,7
43,3,0,0,0,0,1,1,0,1,0,3,16770,5,1482,7
44,1,2,0,0,0,0,0,2,0,1,0,0,5,1479,7
