,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,0,1,0,0,0,9,0,6,2415,3
1,4,0,0,0,0,1,0,0,1,0,3,0,3,889,3
2,3,1,0,0,0,0,0,0,0,0,0,0,0,28,3
3,4,0,0,0,0,0,0,0,2,0,4,2220,0,2412,3
4,4,0,0,0,0,0,5,0,1,2,5,0,11,187,3
5,3,1,0,0,0,0,3,0,0,0,1,663,1,634,3
6,4,0,0,0,0,0,2,1,2,0,1,300,7,2127,3
7,2,1,0,0,0,0,0,0,0,0,0,0,0,1483,3
8,4,0,0,0,0,2,0,1,1,0,3,1500,8,2612,3
9,4,0,0,0,0,0,1,0,1,1,7,37,5,1948,3
10,4,0,0,0,0,1,0,1,1,0,1,0,1,2406,3
11,4,0,0,0,0,0,2,1,0,1,10,0,1,1439,3
12,4,0,0,0,0,0,2,0,0,0,3,0,5,2764,3
13,4,0,0,0,0,2,0,1,3,0,1,1000,3,1977,3
14,4,0,0,0,0,0,1,2,1,0,4,0,6,669,3
15,4,0,0,0,0,0,0,1,3,0,1,48,5,977,5
16,4,0,0,0,0,2,3,3,6,4,9,318,5,1229,5
17,3,0,0,0,1,0,4,1,24,2,2,749,5,682,5
18,3,0,0,0,1,2,4,1,3,0,6,0,2,649,5
19,4,0,0,0,0,2,2,2,3,0,3,8020,1,1681,5
20,4,0,0,0,0,0,3,0,5,2,4,552,4,2296,5
21,4,0,0,0,0,3,22,0,1,0,13,47577,4,2184,5
22,4,0,0,0,0,2,4,1,7,0,10,929,6,2297,5
23,4,0,0,0,0,2,17,2,3,2,4,28201,1,1509,5
24,4,0,0,0,0,0,4,0,2,0,4,11947,3,824,5
25,4,0,0,0,0,0,9,3,8,1,7,12340,5,2721,5
26,4,0,0,0,0,0,4,0,1,0,1,2704,2,948,5
27,4,0,0,0,0,2,8,2,11,1,6,1775,7,2760,5
28,3,0,1,0,0,1,3,1,8,2,1,1921,7,2083,5
29,4,0,0,0,0,1,3,0,4,0,4,847,4,103,5
30,4,0,0,0,0,2,2,1,1,0,5,826,6,1063,5
31,4,0,0,0,0,0,7,6,7,1,4,1989,11,2336,5
32,4,0,0,0,0,1,3,0,1,1,1,43229,4,1251,5
33,4,0,0,0,0,1,2,0,3,0,8,1255,6,16,5
34,3,0,0,0,1,2,4,0,4,1,7,3537,8,1897,5
35,4,0,0,0,0,3,2,1,7,0,7,80,2,2452,5
36,3,0,0,0,1,1,3,0,4,0,6,514,3,1106,5
37,3,0,0,0,1,1,4,0,3,2,5,2418,2,2063,5
38,4,0,0,0,0,1,3,1,2,0,2,3833,4,2190,5
39,4,0,0,0,0,0,3,2,2,1,7,2455,6,1837,5
40,4,0,0,0,0,1,5,0,3,0,10,442,5,2398,5
41,4,0,0,0,0,2,0,3,7,0,4,5053,3,1018,5
42,4,0,0,0,0,1,4,0,5,0,3,8366,12,2916,5
43,4,0,0,0,0,0,4,5,36,2,3,2080,4,925,5
44,4,0,0,0,0,0,5,4,3,0,5,1697,4,1533,5
45,4,0,0,0,0,2,3,0,4,3,2,7926,4,584,5
46,4,0,0,0,0,0,13,0,1,1,8,1027,4,484,5
47,3,0,0,0,1,1,4,1,2,2,17,1390,8,1363,5
48,4,0,0,0,0,1,6,0,2,0,4,1357,9,1742,5
49,4,0,0,0,0,0,4,0,1,0,3,5392,13,221,5
50,5,0,0,0,0,3,1,5,3,0,1,1285,6,1853,8
51,5,0,0,0,0,1,3,0,3,3,7,330,7,1468,8
52,5,0,0,0,0,4,2,4,1,1,8,2030,3,2115,8
53,5,0,0,0,0,0,0,0,1,0,3,600,0,2267,8
54,4,1,0,0,0,1,6,1,1,0,7,8776,3,99,8
55,4,1,0,0,0,1,3,0,5,2,5,5183,2,2676,8
56,4,0,0,0,1,3,1,1,6,1,2,0,4,475,8
57,4,0,0,1,0,0,2,0,0,0,4,3744,0,947,8
58,5,0,0,0,0,0,1,0,0,0,6,828,6,1539,8
59,4,0,0,0,1,3,7,5,14,0,19,2487,7,1393,8
60,1,0,0,0,0,0,0,0,0,0,0,0,0,1765,8
61,5,0,0,0,0,16,1,2,6,2,15,595,1,1244,8
62,5,0,0,0,0,3,5,0,0,0,5,7219,6,1234,8
63,5,0,0,0,0,4,4,1,1,0,6,14389,8,1614,8
64,5,0,0,0,0,1,3,0,1,0,9,189,6,1895,8
65,5,0,0,0,0,0,0,1,2,1,4,7157,0,2742,8
66,4,1,0,0,0,0,2,5,10,0,5,91,6,2577,8
67,5,0,0,0,0,0,6,3,3,2,10,336,11,1084,8
68,5,0,0,0,0,0,3,1,4,0,6,574,21,1819,8
69,4,0,0,0,1,0,0,0,0,0,6,376,0,2503,8
70,5,0,0,0,0,1,5,13,10,0,8,2061,5,2191,8
71,5,0,0,0,0,0,8,2,4,0,10,340,6,202,8
72,5,0,0,0,0,0,4,0,4,0,6,7325,3,1204,8
73,5,0,0,0,0,6,4,1,10,2,13,1991,2,1493,8
74,5,0,0,0,0,3,6,2,1,0,12,1755,5,2495,8
75,4,0,0,0,1,1,7,1,5,1,4,7716,1,1286,8
76,5,0,0,0,0,3,1,4,7,1,22,14,7,1807,8
77,3,1,0,0,1,4,2,1,9,0,12,10024,5,2543,8
78,5,0,0,0,0,1,2,1,3,0,7,0,17,2883,8
79,4,0,0,0,1,0,9,0,12,0,7,150,4,420,8
80,5,0,0,0,0,2,2,2,0,0,4,0,5,727,8
81,5,0,0,0,0,3,6,7,9,1,3,25593,1,1299,8
82,5,0,0,0,0,4,7,1,6,2,11,542,2,2765,8
83,5,0,0,0,0,0,16,1,2,0,11,7604,7,2328,8
84,4,1,0,0,0,2,4,5,3,0,7,0,4,752,8
85,5,0,0,0,0,2,0,6,4,0,4,650,3,2112,8
86,5,0,0,0,0,2,4,0,2,0,10,170,6,1344,8
87,5,0,0,0,0,3,6,0,3,0,5,552,9,2279,8
88,5,0,0,0,0,4,1,1,3,0,5,255,4,2694,8
89,5,0,0,0,0,0,2,2,1,1,10,5096,10,1448,9
90,4,0,0,0,1,4,0,0,0,1,7,3995,37,1541,9
91,4,0,0,0,1,1,8,0,4,1,11,1247,13,1601,9
92,5,0,0,0,0,0,2,0,1,1,0,160,25,488,9
93,3,1,0,0,1,2,1,0,6,0,5,1271,5,1788,9
94,4,1,0,0,0,0,3,0,2,0,5,496,15,411,9
95,4,0,0,0,1,2,2,2,2,0,4,1413,57,1294,9
96,5,0,0,0,0,0,0,3,2,0,3,254,8,2218,9
97,5,0,0,0,0,1,4,1,5,0,3,2595,9,1332,9
98,4,1,0,0,0,1,5,2,5,1,1,10613,9,566,9
99,5,0,0,0,0,3,0,2,6,0,2,35,10,194,9
100,4,1,0,0,0,3,6,9,6,0,12,6906,8,27,9
101,5,0,0,0,0,0,11,0,0,1,6,5641,6,1528,9
102,5,0,0,0,0,3,1,0,1,0,2,645,4,2126,9
103,5,0,0,0,0,0,5,0,4,1,4,38,1,2435,9
104,4,0,0,0,1,0,3,0,3,2,4,7035,6,2531,9
105,5,0,0,0,0,1,4,1,3,0,5,406,2,2454,9
106,5,0,0,0,0,0,2,2,8,2,2,3231,0,68,9
107,5,0,0,0,0,1,5,1,1,0,5,9760,10,2749,9
108,5,0,0,0,0,0,1,1,0,0,4,35,2,1166,9
109,4,0,0,0,1,3,13,0,4,1,15,252,4,545,9
110,5,0,0,0,0,0,10,0,3,0,5,2435,15,929,9
111,5,0,0,0,0,1,2,3,4,0,6,3032,7,1313,9
112,4,0,0,0,1,2,5,2,10,3,6,6332,0,714,9
113,4,0,0,0,0,1,3,0,0,0,4,1529,10,1798,10
114,4,0,0,0,0,5,2,2,4,0,6,7586,1,950,10
115,2,0,1,0,1,0,3,1,0,0,5,385,1,2293,10
116,1,0,0,0,0,0,0,1,0,0,1,0,0,1487,10
117,4,0,0,0,0,1,0,0,1,0,3,84,1,1454,10
118,4,0,0,0,0,4,2,0,0,0,3,1138,11,1326,10
119,1,0,0,0,0,1,0,3,0,0,2,0,0,1703,10
120,4,0,0,0,0,0,1,0,2,1,5,287,7,1844,10
121,2,0,0,0,2,2,0,0,0,0,1,126,2,836,10
122,4,0,0,0,0,2,0,5,0,0,9,210,2,2727,10
123,0,0,0,0,4,0,0,1,2,1,0,0,3,1737,10
124,2,0,0,0,2,0,2,1,0,0,3,2050,4,2679,10
125,2,2,0,0,0,0,0,2,4,0,1,350,0,66,10
126,1,2,0,0,0,0,0,0,0,0,0,0,0,2770,10
127,4,0,0,0,0,2,0,0,3,0,9,1653,0,1822,10
128,1,0,0,0,0,0,0,0,1,0,0,0,0,2747,10
129,4,0,0,0,0,4,0,2,1,0,2,280,3,390,10
130,2,0,1,0,1,0,2,0,0,0,3,8088,2,676,10
131,3,1,0,0,0,0,0,0,0,0,0,689,0,726,10
132,4,0,0,0,0,2,2,1,0,0,11,2895,9,1731,10
133,3,0,0,0,1,0,1,2,6,0,2,351,5,2131,10
134,2,2,0,0,0,0,3,0,0,0,2,6966,3,668,10
135,4,0,0,0,0,1,3,4,1,0,9,140,12,130,10
136,3,0,0,1,0,2,0,0,2,0,2,1290,0,1873,10
137,2,1,0,0,1,0,1,1,2,0,0,45,0,1217,10
138,4,0,0,0,0,4,1,3,2,0,6,282,6,1652,11
139,4,0,0,0,0,3,1,2,2,1,6,252,4,2600,11
140,3,1,0,0,0,2,1,2,5,0,2,2399,2,1682,11
141,4,0,0,0,0,1,3,1,2,1,8,97,6,1862,11
142,4,0,0,0,0,4,2,0,6,1,11,949,3,611,11
143,4,0,0,0,0,1,2,0,2,1,2,0,4,1794,11
144,4,0,0,0,0,0,3,3,4,0,1,2330,8,2306,11
145,4,0,0,0,0,2,5,1,3,0,3,2609,5,2691,11
146,4,0,0,0,0,1,2,0,5,0,5,13020,8,451,11
