,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,2,0,0,0,1,0,1,0,3,0,2,0,11,2415,3
1,1,0,2,0,0,3,0,0,1,3,3,0,7,889,3
2,3,0,0,0,0,0,0,0,3,0,1,0,6,2412,3
3,3,0,0,0,0,0,2,0,0,5,5,4600,1,187,3
4,2,1,0,0,0,0,1,1,0,1,1,0,1,2127,3
5,3,0,0,0,0,0,2,0,2,3,4,2200,3,2612,3
6,3,0,0,0,0,0,5,0,1,2,4,0,4,1948,3
7,3,0,0,0,0,0,1,0,0,0,1,0,9,2406,3
8,3,0,0,0,0,0,1,0,1,1,5,0,7,1439,3
9,2,0,0,0,0,0,3,0,0,0,1,0,5,2764,3
10,3,0,0,0,0,2,0,0,1,2,1,6586,0,1977,3
11,3,0,0,0,0,1,0,1,1,1,2,100,6,669,3
12,2,0,0,0,0,0,0,0,0,0,0,0,0,977,5
13,3,0,0,0,0,2,4,0,5,1,17,7438,1,1229,5
14,3,0,0,0,0,0,3,2,27,0,5,16968,2,682,5
15,2,1,0,0,0,5,3,0,4,0,2,0,2,649,5
16,3,0,0,0,0,2,3,1,1,0,3,78,2,1681,5
17,3,0,0,0,0,0,4,0,3,0,5,952,3,2296,5
18,3,0,0,0,0,1,18,1,2,1,5,59171,2,2184,5
19,3,0,0,0,0,6,3,1,6,0,2,19308,3,2297,5
20,3,0,0,0,0,0,4,0,6,3,4,13115,4,1509,5
21,2,0,0,0,1,1,3,1,3,0,4,1623,3,824,5
22,3,0,0,0,0,0,2,2,4,0,4,4928,1,2721,5
23,3,0,0,0,0,0,2,2,6,0,4,7089,5,948,5
24,3,0,0,0,0,1,5,3,6,0,4,302,5,2760,5
25,3,0,0,0,0,4,0,1,2,0,2,1360,3,2083,5
26,3,0,0,0,0,0,3,0,2,0,3,653,6,103,5
27,2,1,0,0,0,1,1,3,7,1,3,708,4,1063,5
28,2,1,0,0,0,3,4,0,2,3,3,667,0,173,5
29,1,0,0,0,0,0,2,0,0,0,1,0,0,490,5
30,3,0,0,0,0,0,0,0,0,0,0,0,0,616,5
31,3,0,0,0,0,0,2,3,3,1,5,100,14,2336,5
32,3,0,0,0,0,1,2,0,0,0,2,101501,3,1251,5
33,3,0,0,0,0,0,1,1,1,1,2,249,1,16,5
34,3,0,0,0,0,0,10,1,1,0,7,8423,3,1897,5
35,2,0,0,0,1,1,1,2,3,0,3,5865,4,2452,5
36,3,0,0,0,0,0,2,0,5,0,5,2306,0,1106,5
37,3,0,0,0,0,0,4,0,2,0,4,0,1,2063,5
38,3,0,0,0,0,1,1,0,4,1,0,0,3,2190,5
39,3,0,0,0,0,0,5,0,0,0,5,902,2,1837,5
40,2,0,1,0,0,0,1,1,3,0,3,220,2,2398,5
41,1,0,0,0,0,0,0,0,0,0,0,0,0,1018,5
42,3,0,0,0,0,0,13,0,2,0,6,8381,4,2916,5
43,3,0,0,0,0,2,1,2,17,0,0,0,3,925,5
44,3,0,0,0,0,0,2,1,2,1,7,1015,2,1533,5
45,3,0,0,0,0,1,3,4,4,1,0,6592,7,584,5
46,1,0,0,0,0,0,0,0,0,0,0,0,0,2566,5
47,3,0,0,0,0,2,1,1,2,0,4,752,0,484,5
48,1,0,0,0,0,0,0,0,0,0,0,0,0,2186,5
49,3,0,0,0,0,1,13,0,0,2,6,0,5,1363,5
50,3,0,0,0,0,3,3,0,2,0,8,1823,2,1742,5
51,3,0,0,0,0,0,2,2,3,1,2,4867,9,221,5
52,0,3,0,0,0,0,0,0,0,0,1,0,0,477,7
53,2,1,0,0,0,2,4,3,3,0,1,343,2,2158,7
54,2,1,0,0,0,0,3,1,3,0,8,2483,0,535,7
55,3,0,0,0,0,1,3,6,4,0,1,0,0,2379,7
56,3,0,0,0,0,4,20,0,1,0,2,28584,25,1386,7
57,0,3,0,0,0,0,0,1,1,0,0,0,0,1243,7
58,3,0,0,0,0,2,1,0,1,0,12,366,1,1839,7
59,3,0,0,0,0,4,2,0,6,0,6,350,9,1816,7
60,2,1,0,0,0,1,3,7,4,0,6,920,0,1615,7
61,3,0,0,0,0,3,1,1,1,0,4,1829,0,1527,7
62,3,0,0,0,0,1,3,1,3,0,10,125,5,2671,7
63,2,1,0,0,0,0,0,0,0,0,0,565,0,1479,7
64,2,1,0,0,0,0,0,3,5,0,8,0,0,345,7
65,3,0,0,0,0,3,5,6,8,0,7,277,0,269,7
66,3,0,0,0,0,2,3,1,1,0,5,4118,11,2686,7
67,3,0,0,0,0,1,2,1,6,0,7,8322,0,830,7
68,3,0,0,0,0,2,3,1,12,0,15,450,0,1893,7
69,3,0,0,0,0,2,0,0,2,0,1,2235,0,349,7
70,3,0,0,0,0,3,0,0,1,0,0,0,1,2597,7
71,3,0,0,0,0,1,0,0,4,0,1,50,0,2536,7
72,2,0,0,0,1,0,0,0,0,0,0,0,0,415,7
73,3,0,0,0,0,2,13,0,1,0,11,2423,1,1884,7
74,2,1,0,0,0,0,0,0,1,0,2,0,0,217,7
75,3,0,0,0,0,0,3,1,2,0,5,0,11,852,7
76,3,0,0,0,0,0,1,0,0,1,4,0,1,1874,7
77,3,0,0,0,0,0,0,0,2,0,1,0,0,1903,7
78,3,0,0,0,0,2,0,1,2,0,1,121,1,1853,8
79,3,0,0,0,0,1,2,0,0,0,3,0,0,1468,8
80,3,0,0,0,0,1,3,1,3,1,5,1324,3,2115,8
81,3,0,0,0,0,0,1,0,0,0,2,0,5,2267,8
