,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,3,0,0,0,0,0,3,0,10,0,6,3993,4,682,5
1,3,0,0,0,0,2,5,2,2,1,8,557,4,2822,5
2,3,0,0,0,0,0,6,4,12,1,9,2337,2,1810,5
3,3,0,0,0,0,0,2,3,2,0,1,1540,6,2624,5
4,3,0,0,0,0,4,12,0,7,0,16,4162,4,2184,5
5,3,0,0,0,0,1,3,0,1,0,3,4749,3,2057,5
6,3,0,0,0,0,1,1,1,3,0,3,0,2,354,5
7,3,0,0,0,0,2,7,1,0,0,7,6680,1,2721,5
8,1,0,0,2,0,0,3,1,0,0,2,362,2,1076,5
9,2,0,0,1,0,1,4,2,2,0,1,8696,3,948,5
10,3,0,0,0,0,1,3,2,1,0,6,6624,8,2760,5
11,3,0,0,0,0,2,3,0,1,0,3,2351,2,2083,5
12,2,0,0,1,0,0,4,0,1,0,1,126,12,103,5
13,3,0,0,0,0,0,8,0,5,1,4,445,4,173,5
14,3,0,0,0,0,0,4,0,4,0,3,113,4,490,5
15,3,0,0,0,0,0,4,4,4,0,5,2210,5,1635,5
16,3,0,0,0,0,0,2,1,1,1,5,2007,2,1251,5
17,1,0,0,2,0,0,4,0,4,0,5,10469,2,1897,5
18,3,0,0,0,0,1,6,1,4,0,6,1076,0,2228,5
19,1,0,0,2,0,1,0,0,0,0,2,414,10,1106,5
20,3,0,0,0,0,1,0,0,0,0,6,1800,2,33,5
21,3,0,0,0,0,0,0,1,0,0,1,0,0,2516,5
22,2,0,0,1,0,0,3,1,3,1,5,722,2,2063,5
23,3,0,0,0,0,0,10,0,7,0,0,3207,8,1837,5
24,2,0,0,1,0,0,2,1,2,1,3,400,5,2398,5
25,2,0,0,0,1,1,1,1,0,0,2,5135,3,2222,5
26,3,0,0,0,0,0,3,0,1,0,0,572,6,2916,5
27,2,0,0,1,0,0,3,0,2,0,1,2516,6,369,5
28,3,0,0,0,0,2,4,1,2,0,5,3441,4,1533,5
29,3,0,0,0,0,3,1,1,9,0,0,158,18,2566,5
30,2,0,0,1,0,5,2,0,4,0,6,4104,0,484,5
