,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,1,2,2,1,0,9,0,0,790,1
1,4,0,0,0,0,0,1,0,1,0,8,0,14,733,1
2,2,0,0,0,2,2,1,0,3,2,4,0,20,2335,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,1150,1
4,3,1,0,0,0,0,0,0,0,0,1,0,0,414,1
5,4,0,0,0,0,0,2,0,2,0,12,0,0,1919,1
6,3,0,1,0,0,1,0,0,0,0,6,147,2,631,1
7,4,0,0,0,0,0,3,3,2,0,5,1646,7,2260,1
8,4,0,0,0,0,0,1,2,1,0,4,0,0,2114,1
9,4,0,0,0,0,1,2,0,1,0,5,0,1,313,1
10,4,0,0,0,0,0,1,0,1,0,5,0,3,1267,1
11,4,0,0,0,0,1,2,1,4,0,4,71,2,1870,1
12,4,0,0,0,0,0,1,1,1,0,4,844,4,1320,1
13,3,0,0,0,1,1,1,1,0,0,7,26,3,740,1
14,3,0,0,0,1,1,3,0,2,0,9,2133,20,1826,1
15,2,1,0,0,1,1,0,0,4,0,3,8240,1,1074,1
16,3,0,1,0,0,1,0,0,0,0,5,1700,3,2105,1
17,4,0,0,0,0,0,5,0,1,0,4,0,5,1226,1
18,3,1,0,0,0,0,1,0,3,0,6,0,28,2162,1
19,4,0,0,0,0,0,4,0,1,0,3,42,0,1764,1
20,4,0,0,0,0,0,2,0,4,0,4,53,3,2471,1
21,1,0,0,0,0,0,0,0,0,0,0,0,0,941,1
22,1,0,0,0,0,0,0,0,0,0,0,0,0,941,1
23,4,1,0,0,0,0,3,2,2,1,5,200,2,945,3
24,4,0,0,0,1,0,3,1,2,0,10,421,2,288,3
25,5,0,0,0,0,2,3,0,2,0,6,0,2,2366,3
26,5,0,0,0,0,1,7,0,0,1,9,2557,4,207,3
27,5,0,0,0,0,1,3,1,3,2,13,270,13,2415,3
28,5,0,0,0,0,0,3,0,1,0,5,3367,2,540,3
29,5,0,0,0,0,0,3,2,8,2,5,8075,4,1617,3
30,2,0,0,0,0,0,0,0,0,0,2,0,0,1714,3
31,5,0,0,0,0,1,2,2,4,0,6,249,7,1224,3
32,1,0,0,0,0,0,0,0,0,0,1,0,0,2292,3
33,2,0,0,0,0,0,0,0,1,0,1,0,0,2292,3
34,5,0,0,0,0,0,0,0,1,1,6,0,3,2797,3
35,3,0,1,0,1,0,0,0,2,0,9,0,1,1421,3
36,5,0,0,0,0,0,3,0,3,0,10,0,0,2612,3
37,5,0,0,0,0,1,4,0,2,0,14,0,30,1738,3
38,4,1,0,0,0,1,5,0,4,0,9,0,5,2791,3
39,5,0,0,0,0,1,7,0,2,1,6,8250,6,2852,3
40,5,0,0,0,0,1,1,1,0,0,9,0,6,2014,3
41,5,0,0,0,0,1,1,0,2,0,12,0,4,554,3
42,5,0,0,0,0,0,4,0,2,1,7,2753,18,2764,3
43,5,0,0,0,0,0,1,1,3,1,5,0,11,5,3
44,1,2,1,0,1,0,0,0,2,0,1,0,0,658,3
45,5,0,0,0,0,0,3,0,3,0,6,808,3,979,3
46,5,0,0,0,0,1,1,1,10,0,11,140,8,751,3
47,5,0,0,0,0,2,0,0,0,2,8,0,4,851,3
48,4,1,0,0,0,0,0,0,0,1,1,0,0,1708,3
49,4,1,0,0,0,0,4,0,0,0,16,3180,4,2640,3
50,5,0,0,0,0,2,1,0,4,1,15,0,6,1551,3
51,3,0,0,0,0,0,0,0,0,0,1,300,0,1229,5
52,4,0,0,0,0,2,4,0,1,0,8,419,3,1229,5
53,5,0,0,0,0,5,10,4,8,1,14,1175,4,682,5
54,1,0,0,0,0,0,0,0,0,0,0,0,0,970,5
55,5,0,0,0,0,2,1,0,5,1,2,142,2,1248,5
56,5,0,0,0,0,5,0,0,1,0,21,394,1,1681,5
57,5,0,0,0,0,1,21,8,29,1,17,69636,5,2184,5
58,4,1,0,0,0,0,1,1,2,0,2,6255,0,337,5
59,5,0,0,0,0,0,4,0,1,0,3,0,18,1812,5
60,4,1,0,0,0,0,12,0,5,0,1,106706,1,1616,5
61,4,0,0,0,1,1,5,1,4,0,12,683,8,45,5
62,5,0,0,0,0,2,5,1,26,1,3,349,2,1509,5
63,5,0,0,0,0,2,3,0,9,0,17,3750,4,824,5
64,5,0,0,0,0,0,4,0,6,0,14,37180,6,282,5
65,5,0,0,0,0,3,2,2,6,1,17,3308,1,2721,5
66,5,0,0,0,0,3,3,0,1,0,4,3929,1,948,5
67,4,1,0,0,0,7,5,4,1,0,4,2447,10,2760,5
68,3,0,1,0,1,5,6,1,6,2,5,2545,9,2083,5
69,4,1,0,0,0,0,3,0,3,0,10,788,10,2529,5
70,5,0,0,0,0,2,0,6,7,0,8,196,5,2910,5
71,5,0,0,0,0,2,14,4,2,0,10,46293,3,1964,5
