,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,0,2,0,3,0,0,1,1,0,0,0,136,0,2415,3
1,5,0,0,0,0,1,1,0,3,1,0,0,2,889,3
2,4,0,0,0,1,0,3,0,0,0,3,0,0,28,3
3,0,0,0,4,1,1,3,1,3,0,3,175,0,1492,3
4,4,0,0,0,0,0,8,0,4,2,7,54,2,187,3
5,4,1,0,0,0,1,2,1,2,0,6,0,4,634,3
6,5,0,0,0,0,2,1,1,2,0,2,350,7,2127,3
7,3,1,0,0,1,0,0,2,0,1,3,0,0,1483,3
8,5,0,0,0,0,3,4,0,1,2,8,685,7,2612,3
9,5,0,0,0,0,1,4,0,3,3,16,2765,3,1948,3
10,3,1,1,0,0,0,1,2,3,0,3,0,5,2791,3
11,4,1,0,0,0,0,0,2,2,3,5,1225,5,2764,3
12,5,0,0,0,0,1,1,1,2,0,5,7920,8,2640,3
13,3,1,0,0,1,1,2,0,1,2,0,3000,0,1977,3
14,4,0,0,0,1,1,2,0,3,0,5,0,4,669,3
15,4,1,0,0,0,1,3,1,7,0,3,2580,3,977,5
16,5,0,0,0,0,0,9,3,13,0,7,2193,6,682,5
17,5,0,0,0,0,3,9,1,2,1,16,291,4,649,5
18,3,1,1,0,0,2,2,5,1,0,3,12408,4,1248,5
19,4,0,0,1,0,5,2,0,3,0,8,1047,3,1681,5
20,5,0,0,0,0,3,3,0,5,1,5,480,3,2296,5
21,4,0,0,0,1,0,30,14,89,0,13,8879,4,2184,5
22,4,1,0,0,0,0,5,1,7,0,10,1862,9,1509,5
23,3,0,0,0,2,2,3,0,5,0,8,8302,2,824,5
24,5,0,0,0,0,0,15,0,3,0,5,2047,5,2721,5
25,3,0,0,0,2,0,5,2,6,1,5,2218,8,948,5
26,5,0,0,0,0,0,7,1,5,0,4,3486,10,2760,5
27,4,0,1,0,0,2,13,2,5,1,1,1565,3,2083,5
28,4,0,0,0,1,2,6,1,6,0,9,347,8,103,5
29,1,0,0,0,4,1,5,1,2,1,1,105,4,1920,5
30,3,2,0,0,0,3,2,4,5,1,6,978,6,1063,5
31,5,0,0,0,0,0,6,2,5,0,7,419,13,2336,5
