,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,1,0,0,0,0,1,1,1,2,2060,6,1417,3
1,5,0,0,0,0,2,3,0,2,1,9,520,0,2415,3
2,4,0,0,0,1,0,0,0,0,1,2,250,0,889,3
3,5,0,0,0,0,0,5,0,0,0,3,0,1,28,3
4,4,0,0,0,1,1,3,2,5,1,2,2283,0,1492,3
5,1,0,0,0,0,0,0,0,0,0,0,0,0,2292,3
6,4,0,0,0,1,1,1,0,2,2,5,1130,6,634,3
7,5,0,0,0,0,0,1,1,1,1,3,1697,6,2127,3
8,5,0,0,0,0,0,2,0,4,0,3,9882,4,1581,3
9,5,0,0,0,0,0,2,1,5,4,3,1780,0,1483,3
10,4,0,1,0,0,1,4,0,2,1,2,0,17,2612,3
11,3,0,0,0,2,2,3,0,1,0,4,520,0,1948,3
12,3,1,1,0,0,0,1,1,2,0,3,0,3,2791,3
13,4,1,0,0,0,2,8,0,0,0,2,5469,1,2764,3
14,5,0,0,0,0,0,5,0,0,0,4,11770,1,979,3
15,5,0,0,0,0,0,3,1,4,0,3,1000,3,556,3
16,4,0,0,0,1,2,1,1,2,0,3,13670,5,2640,3
17,2,0,3,0,0,0,1,2,2,0,1,0,0,1977,3
18,4,1,0,0,0,1,5,4,15,1,13,468,3,977,5
19,5,0,0,0,0,2,5,2,16,0,16,1029,4,682,5
20,5,0,0,0,0,1,9,1,20,0,6,1952,5,1248,5
21,4,0,0,0,1,4,2,1,5,1,8,4091,5,1681,5
22,5,0,0,0,0,3,3,0,3,1,7,255,4,2296,5
23,5,0,0,0,0,2,49,3,38,5,25,29631,6,2184,5
24,4,0,1,0,0,0,23,3,7,0,7,12196,12,1509,5
25,5,0,0,0,0,1,5,2,10,0,4,3347,6,824,5
26,5,0,0,0,0,2,10,0,9,2,10,2442,3,2721,5
27,5,0,0,0,0,3,8,1,4,0,4,7123,8,948,5
28,5,0,0,0,0,2,7,1,1,1,12,1550,14,2760,5
29,5,0,0,0,0,1,7,1,6,0,5,3767,9,2083,5
30,5,0,0,0,0,3,4,1,5,0,10,976,5,103,5
31,4,0,0,0,1,2,3,0,2,0,4,917,2,1920,5
32,4,0,0,0,1,3,1,2,4,1,5,385,6,1063,5
33,5,0,0,0,0,0,7,0,0,0,12,187503,20,2336,5
34,5,0,0,0,0,0,8,1,4,1,1,2662,4,1251,5
35,5,0,0,0,0,2,8,0,5,0,3,507,23,16,5
36,2,0,0,0,0,3,16,0,1,1,9,4466,2,1897,5
37,5,0,0,0,0,2,3,2,5,0,7,556,6,2452,5
38,5,0,0,0,0,1,5,1,3,0,9,1273,9,1106,5
39,3,0,0,0,0,0,0,0,0,0,0,538,0,1470,5
40,5,0,0,0,0,0,7,0,4,0,9,4208,2,2063,5
41,5,0,0,0,0,2,3,0,1,0,6,26,7,2190,5
42,5,0,0,0,0,1,4,1,2,3,8,6501,6,1837,5
43,3,0,0,0,2,1,5,1,3,0,2,1115,8,2398,5
44,5,0,0,0,0,0,10,0,16,2,7,6751,5,2774,5
45,5,0,0,0,0,6,13,0,4,0,7,25039,9,2034,5
46,5,0,0,0,0,0,7,2,13,2,11,3635,9,1018,5
47,4,0,0,1,0,0,12,0,8,0,9,4465,2,2916,5
48,5,0,0,0,0,1,14,10,27,1,14,63,14,925,5
49,5,0,0,0,0,0,6,0,7,2,10,668,5,1533,5
50,3,0,0,0,0,0,1,5,5,4,5,37,1,584,5
51,5,0,0,0,0,4,22,2,3,0,24,699,7,1363,5
52,5,0,0,0,0,1,9,2,11,2,21,1356,5,1742,5
53,5,0,0,0,0,0,5,2,9,0,5,3080,10,221,5
54,5,0,0,0,0,0,0,4,4,0,9,0,4,1853,8
55,5,0,0,0,0,2,0,2,8,0,14,40,10,2115,8
56,5,0,0,0,0,0,4,0,3,1,13,41866,5,2539,8
57,1,0,0,0,0,0,0,0,0,0,0,0,0,2267,8
58,3,1,0,0,0,0,0,0,0,0,0,358,0,2802,8
59,4,0,0,0,1,2,2,1,2,4,3,1282,6,99,8
60,5,0,0,0,0,3,2,0,5,1,6,3090,4,475,8
61,5,0,0,0,0,2,0,0,0,1,1,2411,3,947,8
62,5,0,0,0,0,1,1,0,3,0,6,505,5,1539,8
