,P,A,L,M,S,RGI,RGO,RRI,RRO,V,1-2-1,TYFCB,CEU,user_ID,chapter_ID
0,4,0,0,0,0,3,0,7,1,0,3,3000,0,790,1
1,4,0,0,0,0,3,0,1,2,0,6,0,21,733,1
2,4,0,0,0,0,3,4,0,9,0,10,650,5,2335,1
3,4,0,0,0,0,1,2,0,1,0,4,0,0,1919,1
4,4,0,0,0,0,0,2,0,1,2,2,0,5,631,1
5,4,0,0,0,0,1,0,1,2,0,6,0,5,2114,1
6,4,0,0,0,0,1,2,1,0,0,5,0,3,313,1
7,4,0,0,0,0,1,3,0,0,0,8,106,6,1267,1
8,4,0,0,0,0,0,3,2,7,0,3,0,9,1870,1
9,4,0,0,0,0,0,0,0,2,1,9,861,2,1320,1
10,4,0,0,0,0,2,3,1,0,0,11,95,4,740,1
11,4,0,0,0,0,0,1,0,2,0,3,4300,5,1074,1
12,2,2,0,0,0,0,0,0,0,0,4,596,0,2105,1
13,3,0,0,1,0,0,1,0,0,0,3,0,4,1226,1
14,4,0,0,0,0,0,2,1,3,0,6,0,52,2162,1
15,4,0,0,0,0,0,5,0,0,0,12,0,18,1978,1
16,3,0,0,0,1,0,1,1,0,1,3,0,0,2471,1
17,3,0,0,0,1,1,1,1,0,1,4,3396,3,941,1
18,4,0,0,0,0,1,0,2,3,0,3,209,2,945,3
19,3,0,0,0,1,1,9,7,2,0,4,1744,0,288,3
20,3,0,0,0,0,0,0,0,0,0,6,0,0,2432,3
21,3,0,0,0,1,0,3,3,5,0,12,190,2,2366,3
22,4,0,0,0,0,0,0,1,0,0,0,12279,0,207,3
23,4,0,0,0,0,1,8,1,3,0,6,1295,3,2415,3
24,3,0,0,0,1,1,3,0,3,0,0,0,0,540,3
25,3,1,0,0,0,0,2,1,2,0,6,0,0,1371,3
26,4,0,0,0,0,1,6,2,4,0,5,4318,4,1617,3
27,2,2,0,0,0,6,1,0,0,0,4,0,3,1714,3
28,4,0,0,0,0,1,4,2,1,0,3,106,6,1224,3
29,4,0,0,0,0,0,2,1,0,1,8,0,7,2292,3
30,3,1,0,0,0,3,3,1,1,0,2,40,3,1421,3
31,4,0,0,0,0,1,10,1,0,0,5,0,6,2612,3
32,3,0,0,0,1,2,1,1,1,0,2,0,3,1738,3
33,3,1,0,0,0,0,0,3,0,0,4,0,3,2791,3
34,4,0,0,0,0,3,3,0,2,1,4,0,6,2852,3
35,4,0,0,0,0,0,1,2,5,0,2,0,0,2014,3
36,3,1,0,0,0,0,3,1,4,0,2,0,1,554,3
37,4,0,0,0,0,1,1,0,3,0,3,123,7,2764,3
38,4,0,0,0,0,1,1,0,3,0,2,15,0,5,3
39,4,0,0,0,0,3,0,0,4,0,5,303,3,979,3
40,4,0,0,0,0,2,0,0,4,0,7,108,6,556,3
41,4,0,0,0,0,2,1,1,11,1,8,209,2,751,3
42,4,0,0,0,0,1,1,0,0,1,2,15,5,851,3
43,2,2,0,0,0,2,0,0,3,0,3,108,0,1708,3
44,3,0,1,0,0,1,0,1,0,0,9,12,28,2640,3
45,3,0,0,0,1,0,5,7,6,0,11,0,1,1551,3
46,4,0,0,0,0,0,5,0,0,0,2,2426,3,1229,5
47,4,0,0,0,0,0,3,0,1,0,2,2441,6,682,5
48,3,1,0,0,0,0,6,1,5,0,4,1526,9,1248,5
49,2,0,0,0,2,1,1,0,2,1,3,857,6,1681,5
50,4,0,0,0,0,3,35,0,30,1,13,23510,4,2184,5
51,4,0,0,0,0,0,2,1,2,0,7,178,6,1812,5
